"paper","number_of_inf_methods","number_of_des_methods","number_of_ml_methods","number_of_other_methods","year"
"http://orkg.org/orkg/resource/R194373",1,1,0,0,"2019"
"http://orkg.org/orkg/resource/R220371",0,1,0,0,"2013"
"http://orkg.org/orkg/resource/R195144",0,1,0,2,"2018"
"http://orkg.org/orkg/resource/R195587",0,1,0,2,"2017"
"http://orkg.org/orkg/resource/R254508",0,1,0,1,"2011"
"http://orkg.org/orkg/resource/R556363",0,1,0,2,"2006"
"http://orkg.org/orkg/resource/R211302",1,1,0,0,"2014"
"http://orkg.org/orkg/resource/R193828",0,1,1,3,"2021"
"http://orkg.org/orkg/resource/R276009",0,1,0,0,"2011"
"http://orkg.org/orkg/resource/R280765",1,1,0,0,"2009"
"http://orkg.org/orkg/resource/R369685",0,1,0,3,"2007"
"http://orkg.org/orkg/resource/R194054",0,1,0,3,"2020"
"http://orkg.org/orkg/resource/R192345",1,1,0,0,"2021"
"http://orkg.org/orkg/resource/R254521",0,0,0,1,"2011"
"http://orkg.org/orkg/resource/R220383",0,1,0,0,"2013"
"http://orkg.org/orkg/resource/R193920",1,1,1,1,"2020"
"http://orkg.org/orkg/resource/R280754",0,1,0,1,"2009"
"http://orkg.org/orkg/resource/R369483",0,1,0,4,"2007"
"http://orkg.org/orkg/resource/R195866",0,1,0,1,"2017"
"http://orkg.org/orkg/resource/R76818",1,1,1,0,"2018"
"http://orkg.org/orkg/resource/R196065",0,0,0,1,"2017"
"http://orkg.org/orkg/resource/R287836",0,1,1,0,"2008"
"http://orkg.org/orkg/resource/R193406",0,1,0,5,"2020"
"http://orkg.org/orkg/resource/R199023",0,1,0,1,"2015"
"http://orkg.org/orkg/resource/R288507",0,1,0,0,"2007"
"http://orkg.org/orkg/resource/R159690",0,1,0,0,"2011"
"http://orkg.org/orkg/resource/R222366",0,1,0,0,"2012"
"http://orkg.org/orkg/resource/R199039",0,0,0,2,"2015"
"http://orkg.org/orkg/resource/R194139",0,1,1,1,"2020"
"http://orkg.org/orkg/resource/R211351",0,1,1,2,"2014"
"http://orkg.org/orkg/resource/R578020",0,1,0,1,"2006"
"http://orkg.org/orkg/resource/R227533",0,1,1,0,"2022"
"http://orkg.org/orkg/resource/R198979",1,1,0,1,"2016"
"http://orkg.org/orkg/resource/R193467",0,1,0,2,"2020"
"http://orkg.org/orkg/resource/R193022",0,0,0,1,"2021"
"http://orkg.org/orkg/resource/R229375",0,1,0,1,"2022"
"http://orkg.org/orkg/resource/R192386",0,1,0,2,"2021"
"http://orkg.org/orkg/resource/R195578",0,1,0,2,"2017"
"http://orkg.org/orkg/resource/R211459",0,1,1,0,"2014"
"http://orkg.org/orkg/resource/R283080",1,1,0,1,"2009"
"http://orkg.org/orkg/resource/R288808",0,1,0,2,"2007"
"http://orkg.org/orkg/resource/R194414",0,1,1,0,"2019"
"http://orkg.org/orkg/resource/R263000",0,1,0,0,"2011"
"http://orkg.org/orkg/resource/R198689",0,1,1,0,"2016"
"http://orkg.org/orkg/resource/R211411",0,1,0,2,"2014"
"http://orkg.org/orkg/resource/R198795",0,1,0,0,"2016"
"http://orkg.org/orkg/resource/R220643",0,1,0,1,"2013"
"http://orkg.org/orkg/resource/R195679",1,1,0,0,"2017"
"http://orkg.org/orkg/resource/R220303",0,1,1,1,"2013"
"http://orkg.org/orkg/resource/R194281",1,1,0,0,"2019"
"http://orkg.org/orkg/resource/R193070",0,0,0,1,"2021"
"http://orkg.org/orkg/resource/R198944",1,1,0,0,"2016"
"http://orkg.org/orkg/resource/R558201",0,1,1,0,"2006"
"http://orkg.org/orkg/resource/R285776",0,1,0,0,"2008"
"http://orkg.org/orkg/resource/R369238",1,1,1,0,"2007"
"http://orkg.org/orkg/resource/R194428",0,1,1,0,"2019"
"http://orkg.org/orkg/resource/R193898",0,1,1,1,"2020"
"http://orkg.org/orkg/resource/R221163",0,1,0,0,"2012"
"http://orkg.org/orkg/resource/R194360",0,1,1,2,"2019"
"http://orkg.org/orkg/resource/R220314",1,1,0,1,"2013"
"http://orkg.org/orkg/resource/R288432",0,1,0,1,"2008"
"http://orkg.org/orkg/resource/R194884",0,1,1,0,"2019"
"http://orkg.org/orkg/resource/R198706",0,1,0,0,"2016"
"http://orkg.org/orkg/resource/R193295",1,1,0,2,"2021"
"http://orkg.org/orkg/resource/R280335",0,1,0,2,"2010"
"http://orkg.org/orkg/resource/R194445",0,1,1,0,"2019"
"http://orkg.org/orkg/resource/R280412",0,1,0,0,"2010"
"http://orkg.org/orkg/resource/R288801",0,1,0,0,"2007"
"http://orkg.org/orkg/resource/R194093",0,1,0,1,"2020"
"http://orkg.org/orkg/resource/R195005",0,1,0,4,"2018"
"http://orkg.org/orkg/resource/R220633",1,1,1,0,"2013"
"http://orkg.org/orkg/resource/R192398",0,1,0,1,"2021"
"http://orkg.org/orkg/resource/R200045",0,1,0,1,"2015"
"http://orkg.org/orkg/resource/R228211",1,1,0,0,"2022"
"http://orkg.org/orkg/resource/R198663",0,1,0,3,"2016"
"http://orkg.org/orkg/resource/R211428",1,1,0,0,"2014"
"http://orkg.org/orkg/resource/R195107",0,0,0,1,"2018"
"http://orkg.org/orkg/resource/R195113",0,1,1,1,"2018"
"http://orkg.org/orkg/resource/R195998",0,1,1,2,"2017"
"http://orkg.org/orkg/resource/R195806",0,1,0,2,"2017"
"http://orkg.org/orkg/resource/R193371",0,1,1,1,"2020"
"http://orkg.org/orkg/resource/R220605",0,1,1,0,"2013"
"http://orkg.org/orkg/resource/R220354",0,1,1,0,"2013"
"http://orkg.org/orkg/resource/R228189",1,1,0,0,"2022"
"http://orkg.org/orkg/resource/R265006",0,1,0,0,"2011"
"http://orkg.org/orkg/resource/R276000",0,0,0,1,"2011"
"http://orkg.org/orkg/resource/R199149",0,1,0,2,"2015"
"http://orkg.org/orkg/resource/R199113",0,1,1,0,"2015"
"http://orkg.org/orkg/resource/R285781",0,1,0,1,"2008"
"http://orkg.org/orkg/resource/R198681",1,1,0,3,"2016"
"http://orkg.org/orkg/resource/R211380",0,1,1,0,"2014"
"http://orkg.org/orkg/resource/R113008",1,1,0,1,"2017"
"http://orkg.org/orkg/resource/R281210",0,1,0,0,"2009"
"http://orkg.org/orkg/resource/R199136",1,1,0,0,"2015"
"http://orkg.org/orkg/resource/R227551",0,1,0,0,"2022"
"http://orkg.org/orkg/resource/R211485",0,0,0,1,"2014"
"http://orkg.org/orkg/resource/R276031",0,1,1,0,"2011"
"http://orkg.org/orkg/resource/R225574",0,1,0,0,"2012"
"http://orkg.org/orkg/resource/R256580",0,1,0,1,"2011"
"http://orkg.org/orkg/resource/R211121",0,1,0,3,"2014"
"http://orkg.org/orkg/resource/R211494",0,1,0,2,"2014"
"http://orkg.org/orkg/resource/R200098",0,1,0,1,"2015"
"http://orkg.org/orkg/resource/R198917",0,1,0,0,"2016"
"http://orkg.org/orkg/resource/R220364",1,1,1,0,"2013"
"http://orkg.org/orkg/resource/R280818",0,1,0,1,"2009"
"http://orkg.org/orkg/resource/R227501",0,1,0,0,"2022"
"http://orkg.org/orkg/resource/R211467",0,1,0,1,"2014"
"http://orkg.org/orkg/resource/R276015",0,1,0,0,"2011"
"http://orkg.org/orkg/resource/R576765",1,1,0,0,"2006"
"http://orkg.org/orkg/resource/R280798",0,1,0,0,"2009"
"http://orkg.org/orkg/resource/R194698",0,1,0,1,"2018"
"http://orkg.org/orkg/resource/R211327",0,1,1,0,"2014"
"http://orkg.org/orkg/resource/R195179",0,1,0,0,"2018"
"http://orkg.org/orkg/resource/R229340",0,1,0,3,"2022"
"http://orkg.org/orkg/resource/R280481",0,1,0,0,"2010"
"http://orkg.org/orkg/resource/R281166",0,1,0,0,"2009"
"http://orkg.org/orkg/resource/R193866",0,1,0,3,"2021"
"http://orkg.org/orkg/resource/R220874",1,1,0,0,"2012"
"http://orkg.org/orkg/resource/R194932",1,1,1,0,"2018"
"http://orkg.org/orkg/resource/R280486",0,1,1,1,"2010"
"http://orkg.org/orkg/resource/R195551",0,1,0,0,"2017"
"http://orkg.org/orkg/resource/R195982",0,1,0,0,"2017"
"http://orkg.org/orkg/resource/R193490",1,1,1,0,"2020"
"http://orkg.org/orkg/resource/R199028",0,1,1,0,"2015"
"http://orkg.org/orkg/resource/R193798",0,1,1,1,"2021"
"http://orkg.org/orkg/resource/R554861",0,0,0,1,"2007"
"http://orkg.org/orkg/resource/R249030",1,1,0,1,"2011"
"http://orkg.org/orkg/resource/R369142",0,1,1,1,"2007"
"http://orkg.org/orkg/resource/R280498",1,1,0,0,"2010"
"http://orkg.org/orkg/resource/R280511",0,1,0,0,"2010"
"http://orkg.org/orkg/resource/R193385",0,1,1,0,"2020"
"http://orkg.org/orkg/resource/R221137",0,1,0,1,"2012"
"http://orkg.org/orkg/resource/R194458",1,1,0,0,"2019"
"http://orkg.org/orkg/resource/R276024",0,1,0,2,"2011"
"http://orkg.org/orkg/resource/R211370",1,1,1,1,"2014"
"http://orkg.org/orkg/resource/R193330",0,0,0,4,"2021"
"http://orkg.org/orkg/resource/R287873",0,1,1,1,"2008"
"http://orkg.org/orkg/resource/R193929",1,1,1,0,"2020"
"http://orkg.org/orkg/resource/R193341",0,1,1,1,"2021"
"http://orkg.org/orkg/resource/R220538",1,1,0,0,"2013"
"http://orkg.org/orkg/resource/R369339",0,1,0,3,"2007"
"http://orkg.org/orkg/resource/R76792",0,1,1,1,"2017"
"http://orkg.org/orkg/resource/R195153",0,1,0,1,"2018"
"http://orkg.org/orkg/resource/R200119",0,1,0,2,"2015"
"http://orkg.org/orkg/resource/R288460",0,1,0,1,"2007"
"http://orkg.org/orkg/resource/R279086",1,1,0,0,"2010"
"http://orkg.org/orkg/resource/R195713",1,1,0,0,"2017"
"http://orkg.org/orkg/resource/R279109",0,1,1,0,"2010"
"http://orkg.org/orkg/resource/R194317",0,1,1,0,"2019"
"http://orkg.org/orkg/resource/R211336",0,1,1,1,"2014"
"http://orkg.org/orkg/resource/R211198",0,1,0,0,"2014"
"http://orkg.org/orkg/resource/R195767",1,1,0,1,"2017"
"http://orkg.org/orkg/resource/R193089",0,1,0,2,"2021"
"http://orkg.org/orkg/resource/R113204",1,1,0,1,"2018"
"http://orkg.org/orkg/resource/R283098",0,1,0,0,"2008"
"http://orkg.org/orkg/resource/R112434",0,1,1,1,"2017"
"http://orkg.org/orkg/resource/R196021",1,1,0,0,"2017"
"http://orkg.org/orkg/resource/R193418",1,1,0,0,"2020"
"http://orkg.org/orkg/resource/R279151",0,0,0,1,"2010"
"http://orkg.org/orkg/resource/R280758",0,1,0,0,"2009"
"http://orkg.org/orkg/resource/R195224",0,1,0,1,"2018"
"http://orkg.org/orkg/resource/R195749",0,1,0,1,"2017"
"http://orkg.org/orkg/resource/R194895",0,1,0,1,"2019"
"http://orkg.org/orkg/resource/R578027",0,1,0,1,"2006"
"http://orkg.org/orkg/resource/R228262",0,1,1,2,"2022"
"http://orkg.org/orkg/resource/R558790",0,1,0,1,"2006"
"http://orkg.org/orkg/resource/R220629",0,0,0,1,"2013"
"http://orkg.org/orkg/resource/R200106",0,1,0,0,"2015"
"http://orkg.org/orkg/resource/R254495",0,1,0,2,"2011"
"http://orkg.org/orkg/resource/R199014",0,1,0,1,"2015"
"http://orkg.org/orkg/resource/R198994",0,1,0,3,"2016"
"http://orkg.org/orkg/resource/R195495",0,1,1,1,"2017"
"http://orkg.org/orkg/resource/R280738",1,1,0,0,"2009"
"http://orkg.org/orkg/resource/R288783",0,0,0,1,"2007"
"http://orkg.org/orkg/resource/R276051",0,1,1,0,"2011"
"http://orkg.org/orkg/resource/R200049",1,1,0,3,"2015"
"http://orkg.org/orkg/resource/R78432",0,1,1,1,"2016"
"http://orkg.org/orkg/resource/R285790",0,1,0,2,"2008"
"http://orkg.org/orkg/resource/R198833",0,1,0,3,"2016"
"http://orkg.org/orkg/resource/R249021",0,1,0,0,"2011"
"http://orkg.org/orkg/resource/R555217",0,1,0,1,"2007"
"http://orkg.org/orkg/resource/R288476",0,1,0,0,"2007"
"http://orkg.org/orkg/resource/R199123",1,1,0,0,"2015"
"http://orkg.org/orkg/resource/R249016",0,1,0,1,"2011"
"http://orkg.org/orkg/resource/R200061",1,1,0,0,"2015"
"http://orkg.org/orkg/resource/R288443",0,0,0,1,"2008"
"http://orkg.org/orkg/resource/R197609",0,0,0,1,"2017"
"http://orkg.org/orkg/resource/R111988",0,1,1,1,"2016"
"http://orkg.org/orkg/resource/R113067",1,1,1,6,"2017"
"http://orkg.org/orkg/resource/R194125",0,1,1,1,"2020"
"http://orkg.org/orkg/resource/R198972",0,1,1,1,"2016"
"http://orkg.org/orkg/resource/R220390",0,1,0,0,"2013"
"http://orkg.org/orkg/resource/R196033",1,1,0,0,"2017"
"http://orkg.org/orkg/resource/R198797",0,1,0,1,"2016"
"http://orkg.org/orkg/resource/R211188",0,1,0,1,"2014"
"http://orkg.org/orkg/resource/R113160",1,1,1,0,"2018"
"http://orkg.org/orkg/resource/R287851",1,1,0,2,"2008"
"http://orkg.org/orkg/resource/R193441",1,1,0,1,"2020"
"http://orkg.org/orkg/resource/R200042",0,1,0,0,"2015"
"http://orkg.org/orkg/resource/R194610",0,1,1,1,"2019"
"http://orkg.org/orkg/resource/R195728",0,1,0,1,"2017"
"http://orkg.org/orkg/resource/R287863",0,1,0,0,"2008"
"http://orkg.org/orkg/resource/R227465",1,1,1,0,"2022"
"http://orkg.org/orkg/resource/R280811",0,1,0,0,"2009"
"http://orkg.org/orkg/resource/R78392",0,1,1,2,"2015"
"http://orkg.org/orkg/resource/R198724",0,1,0,1,"2016"
"http://orkg.org/orkg/resource/R221801",0,1,0,1,"2012"
"http://orkg.org/orkg/resource/R195182",1,1,0,0,"2018"
"http://orkg.org/orkg/resource/R227482",0,0,0,3,"2022"
"http://orkg.org/orkg/resource/R194237",0,1,0,2,"2019"
"http://orkg.org/orkg/resource/R279126",0,1,0,1,"2010"
"http://orkg.org/orkg/resource/R220858",0,1,0,1,"2012"
"http://orkg.org/orkg/resource/R194253",0,1,1,1,"2019"
"http://orkg.org/orkg/resource/R211283",0,1,1,0,"2014"
"http://orkg.org/orkg/resource/R211145",0,1,0,1,"2014"
"http://orkg.org/orkg/resource/R198856",0,1,0,1,"2016"
"http://orkg.org/orkg/resource/R220881",1,1,0,0,"2012"
"http://orkg.org/orkg/resource/R193818",0,0,0,2,"2021"
"http://orkg.org/orkg/resource/R199162",0,1,0,0,"2015"
"http://orkg.org/orkg/resource/R220898",1,1,1,1,"2012"
"http://orkg.org/orkg/resource/R194922",0,1,0,0,"2018"
"http://orkg.org/orkg/resource/R211474",0,1,0,0,"2014"
"http://orkg.org/orkg/resource/R199005",0,1,0,0,"2015"
"http://orkg.org/orkg/resource/R283077",0,0,0,3,"2009"
"http://orkg.org/orkg/resource/R195201",1,1,0,0,"2018"
"http://orkg.org/orkg/resource/R196014",0,1,1,2,"2017"
"http://orkg.org/orkg/resource/R576739",0,1,1,0,"2006"
"http://orkg.org/orkg/resource/R193044",1,1,0,1,"2021"
"http://orkg.org/orkg/resource/R192428",0,1,1,0,"2021"
"http://orkg.org/orkg/resource/R221176",0,1,1,0,"2012"
"http://orkg.org/orkg/resource/R222375",1,1,0,0,"2012"
