"paper","year","dc_label","da_label"
"http://orkg.org/orkg/resource/R194237","2019","study","analysis"
"http://orkg.org/orkg/resource/R194686","2018","case study","analysis"
"http://orkg.org/orkg/resource/R194698","2018","experiment","analysis"
"http://orkg.org/orkg/resource/R194922","2018","experiment","analysis"
"http://orkg.org/orkg/resource/R194954","2018","secondary research","analysis"
"http://orkg.org/orkg/resource/R194974","2018","secondary research","analysis"
"http://orkg.org/orkg/resource/R195005","2018","survey","analysis"
"http://orkg.org/orkg/resource/R195113","2018","study","analysis"
"http://orkg.org/orkg/resource/R195129","2018","secondary research","analysis"
"http://orkg.org/orkg/resource/R287812","2008","case study","analysis"
"http://orkg.org/orkg/resource/R287812","2008","survey","analysis"
"http://orkg.org/orkg/resource/R287825","2008","interview","analysis"
"http://orkg.org/orkg/resource/R287836","2008","experiment","analysis"
"http://orkg.org/orkg/resource/R287845","2008","secondary research","analysis"
"http://orkg.org/orkg/resource/R287851","2008","case study","analysis"
"http://orkg.org/orkg/resource/R287863","2008","workshop","analysis"
"http://orkg.org/orkg/resource/R195144","2018","study","analysis"
"http://orkg.org/orkg/resource/R195144","2018","study","analysis"
"http://orkg.org/orkg/resource/R288764","2007","study","analysis"
"http://orkg.org/orkg/resource/R200119","2015","study","analysis"
"http://orkg.org/orkg/resource/R288783","2007","case study","analysis"
"http://orkg.org/orkg/resource/R200119","2015","interview","analysis"
"http://orkg.org/orkg/resource/R288801","2007","case study","analysis"
"http://orkg.org/orkg/resource/R211096","2014","case study","analysis"
"http://orkg.org/orkg/resource/R211106","2014","case study","analysis"
"http://orkg.org/orkg/resource/R211177","2014","secondary research","analysis"
"http://orkg.org/orkg/resource/R211198","2014","survey","analysis"
"http://orkg.org/orkg/resource/R211411","2014","secondary research","analysis"
"http://orkg.org/orkg/resource/R211452","2014","survey","analysis"
"http://orkg.org/orkg/resource/R211467","2014","case study","analysis"
"http://orkg.org/orkg/resource/R211485","2014","case study","analysis"
"http://orkg.org/orkg/resource/R211485","2014","action research","analysis"
"http://orkg.org/orkg/resource/R211485","2014","secondary research","analysis"
"http://orkg.org/orkg/resource/R211502","2014","study","analysis"
"http://orkg.org/orkg/resource/R211502","2014","study","analysis"
"http://orkg.org/orkg/resource/R220323","2013","study","analysis"
"http://orkg.org/orkg/resource/R220323","2013","study","analysis"
"http://orkg.org/orkg/resource/R220390","2013","study","analysis"
"http://orkg.org/orkg/resource/R211096","2014","interview","analysis"
"http://orkg.org/orkg/resource/R211106","2014","interview","analysis"
"http://orkg.org/orkg/resource/R211106","2014","study","analysis"
"http://orkg.org/orkg/resource/R211121","2014","interview","analysis"
"http://orkg.org/orkg/resource/R211121","2014","survey","analysis"
"http://orkg.org/orkg/resource/R211121","2014","interview","analysis"
"http://orkg.org/orkg/resource/R211145","2014","case study","analysis"
"http://orkg.org/orkg/resource/R211154","2014","study","no analysis"
"http://orkg.org/orkg/resource/R211188","2014","case study","analysis"
"http://orkg.org/orkg/resource/R211198","2014","case study","analysis"
"http://orkg.org/orkg/resource/R211283","2014","case study","analysis"
"http://orkg.org/orkg/resource/R211294","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211302","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211302","2014","survey","analysis"
"http://orkg.org/orkg/resource/R211327","2014","study","analysis"
"http://orkg.org/orkg/resource/R211336","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211351","2014","secondary research","analysis"
"http://orkg.org/orkg/resource/R211361","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211370","2014","study","analysis"
"http://orkg.org/orkg/resource/R211370","2014","interview","analysis"
"http://orkg.org/orkg/resource/R211380","2014","study","analysis"
"http://orkg.org/orkg/resource/R211394","2014","interview","analysis"
"http://orkg.org/orkg/resource/R211404","2014","case study","analysis"
"http://orkg.org/orkg/resource/R211411","2014","study","analysis"
"http://orkg.org/orkg/resource/R211411","2014","interview","analysis"
"http://orkg.org/orkg/resource/R211428","2014","secondary research","analysis"
"http://orkg.org/orkg/resource/R211438","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211438","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211438","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211452","2014","study","analysis"
"http://orkg.org/orkg/resource/R211459","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211467","2014","experiment","analysis"
"http://orkg.org/orkg/resource/R211474","2014","survey","analysis"
"http://orkg.org/orkg/resource/R211485","2014","interview","analysis"
"http://orkg.org/orkg/resource/R211485","2014","study","analysis"
"http://orkg.org/orkg/resource/R211494","2014","case study","analysis"
"http://orkg.org/orkg/resource/R211502","2014","survey","analysis"
"http://orkg.org/orkg/resource/R195153","2018","study","analysis"
"http://orkg.org/orkg/resource/R220303","2013","secondary research","analysis"
"http://orkg.org/orkg/resource/R220314","2013","case study","analysis"
"http://orkg.org/orkg/resource/R220323","2013","survey","analysis"
"http://orkg.org/orkg/resource/R220343","2013","experiment","analysis"
"http://orkg.org/orkg/resource/R220354","2013","experiment","analysis"
"http://orkg.org/orkg/resource/R220364","2013","experiment","analysis"
"http://orkg.org/orkg/resource/R220371","2013","case study","analysis"
"http://orkg.org/orkg/resource/R220378","2013","case study","no analysis"
"http://orkg.org/orkg/resource/R220383","2013","case study","analysis"
"http://orkg.org/orkg/resource/R220390","2013","interview","analysis"
"http://orkg.org/orkg/resource/R220538","2013","experiment","analysis"
