"paper","dc_label"
"http://orkg.org/orkg/resource/R249016","case study"
"http://orkg.org/orkg/resource/R249021","experiment"
"http://orkg.org/orkg/resource/R249030","case study"
"http://orkg.org/orkg/resource/R254508","survey"
"http://orkg.org/orkg/resource/R265028","study"
"http://orkg.org/orkg/resource/R276000","secondary research"
"http://orkg.org/orkg/resource/R276009","experiment"
"http://orkg.org/orkg/resource/R276015","study"
"http://orkg.org/orkg/resource/R276020","secondary research"
"http://orkg.org/orkg/resource/R276024","case study"
"http://orkg.org/orkg/resource/R276031","case study"
"http://orkg.org/orkg/resource/R276045","experiment"
"http://orkg.org/orkg/resource/R276051","experiment"
"http://orkg.org/orkg/resource/R279079","experiment"
"http://orkg.org/orkg/resource/R279086","experiment"
"http://orkg.org/orkg/resource/R279109","experiment"
"http://orkg.org/orkg/resource/R279116","experiment"
"http://orkg.org/orkg/resource/R279116","interview"
"http://orkg.org/orkg/resource/R279126","case study"
"http://orkg.org/orkg/resource/R279136","study"
"http://orkg.org/orkg/resource/R279141","interview"
"http://orkg.org/orkg/resource/R279151","interview"
"http://orkg.org/orkg/resource/R159690","survey"
"http://orkg.org/orkg/resource/R279158","secondary research"
"http://orkg.org/orkg/resource/R279133","secondary research"
"http://orkg.org/orkg/resource/R280329","experiment"
"http://orkg.org/orkg/resource/R280335","survey"
"http://orkg.org/orkg/resource/R280335","interview"
"http://orkg.org/orkg/resource/R280347","survey"
"http://orkg.org/orkg/resource/R280375","case study"
"http://orkg.org/orkg/resource/R280412","case study"
"http://orkg.org/orkg/resource/R280486","experiment"
"http://orkg.org/orkg/resource/R280481","case study"
"http://orkg.org/orkg/resource/R280498","experiment"
"http://orkg.org/orkg/resource/R280498","experiment"
"http://orkg.org/orkg/resource/R280511","experiment"
"http://orkg.org/orkg/resource/R280511","survey"
"http://orkg.org/orkg/resource/R280521","case study"
"http://orkg.org/orkg/resource/R280529","case study"
"http://orkg.org/orkg/resource/R280738","experiment"
"http://orkg.org/orkg/resource/R280747","secondary research"
"http://orkg.org/orkg/resource/R280758","experiment"
"http://orkg.org/orkg/resource/R280765","experiment"
"http://orkg.org/orkg/resource/R280765","experiment"
"http://orkg.org/orkg/resource/R280793","case study"
"http://orkg.org/orkg/resource/R280798","interview"
"http://orkg.org/orkg/resource/R280798","case study"
"http://orkg.org/orkg/resource/R280811","case study"
"http://orkg.org/orkg/resource/R280818","case study"
"http://orkg.org/orkg/resource/R281162","case study"
"http://orkg.org/orkg/resource/R281166","case study"
"http://orkg.org/orkg/resource/R281172","survey"
"http://orkg.org/orkg/resource/R281188","study"
"http://orkg.org/orkg/resource/R281194","experiment"
"http://orkg.org/orkg/resource/R194093","case study"
"http://orkg.org/orkg/resource/R195982","case study"
"http://orkg.org/orkg/resource/R195218","study"
"http://orkg.org/orkg/resource/R194875","case study"
"http://orkg.org/orkg/resource/R195767","study"
"http://orkg.org/orkg/resource/R220798","case study"
"http://orkg.org/orkg/resource/R211106","study"
"http://orkg.org/orkg/resource/R211106","study"
"http://orkg.org/orkg/resource/R227482","case study"
"http://orkg.org/orkg/resource/R227482","study"
"http://orkg.org/orkg/resource/R228189","experiment"
"http://orkg.org/orkg/resource/R228229","study"
"http://orkg.org/orkg/resource/R229273","experiment"
"http://orkg.org/orkg/resource/R192398","survey"
"http://orkg.org/orkg/resource/R192398","study"
"http://orkg.org/orkg/resource/R283069","case study"
"http://orkg.org/orkg/resource/R283080","experiment"
"http://orkg.org/orkg/resource/R283098","case study"
"http://orkg.org/orkg/resource/R283106","experiment"
"http://orkg.org/orkg/resource/R283095","case study"
"http://orkg.org/orkg/resource/R283077","case study"
"http://orkg.org/orkg/resource/R193022","case study"
"http://orkg.org/orkg/resource/R193035","study"
"http://orkg.org/orkg/resource/R193035","study"
"http://orkg.org/orkg/resource/R193308","interview"
"http://orkg.org/orkg/resource/R193336","study"
"http://orkg.org/orkg/resource/R193818","study"
"http://orkg.org/orkg/resource/R192345","experiment"
"http://orkg.org/orkg/resource/R192386","secondary research"
"http://orkg.org/orkg/resource/R192398","secondary research"
"http://orkg.org/orkg/resource/R192428","experiment"
"http://orkg.org/orkg/resource/R192445","experiment"
"http://orkg.org/orkg/resource/R193025","experiment"
"http://orkg.org/orkg/resource/R193035","secondary research"
"http://orkg.org/orkg/resource/R193044","experiment"
"http://orkg.org/orkg/resource/R193070","interview"
"http://orkg.org/orkg/resource/R193089","interview"
"http://orkg.org/orkg/resource/R193089","survey"
"http://orkg.org/orkg/resource/R193108","interview"
"http://orkg.org/orkg/resource/R193295","survey"
"http://orkg.org/orkg/resource/R193308","experiment"
"http://orkg.org/orkg/resource/R193308","experiment"
"http://orkg.org/orkg/resource/R193330","secondary research"
"http://orkg.org/orkg/resource/R193341","study"
"http://orkg.org/orkg/resource/R193357","secondary research"
"http://orkg.org/orkg/resource/R193371","case study"
"http://orkg.org/orkg/resource/R193385","interview"
"http://orkg.org/orkg/resource/R193406","interview"
"http://orkg.org/orkg/resource/R193418","survey"
"http://orkg.org/orkg/resource/R193798","experiment"
"http://orkg.org/orkg/resource/R193441","case study"
"http://orkg.org/orkg/resource/R193473","study"
"http://orkg.org/orkg/resource/R193481","secondary research"
"http://orkg.org/orkg/resource/R193490","study"
"http://orkg.org/orkg/resource/R193022","secondary research"
"http://orkg.org/orkg/resource/R193818","case study"
"http://orkg.org/orkg/resource/R193828","secondary research"
"http://orkg.org/orkg/resource/R193849","case study"
"http://orkg.org/orkg/resource/R193866","secondary research"
"http://orkg.org/orkg/resource/R193898","experiment"
"http://orkg.org/orkg/resource/R193467","secondary research"
"http://orkg.org/orkg/resource/R193929","study"
"http://orkg.org/orkg/resource/R194054","study"
"http://orkg.org/orkg/resource/R194084","case study"
"http://orkg.org/orkg/resource/R194114","interview"
"http://orkg.org/orkg/resource/R194139","survey"
"http://orkg.org/orkg/resource/R194139","case study"
"http://orkg.org/orkg/resource/R194237","survey"
"http://orkg.org/orkg/resource/R194253","secondary research"
"http://orkg.org/orkg/resource/R194281","experiment"
