"paper","da_label","count","percent","mean","median","mode","minimum","maximum","range","variance","standard_deviation","percentile_rank","quartile_rank","boxplot"
"http://orkg.org/orkg/resource/R220390","analysis","true","true","true","false","false","true","false","true","false","false","false","false","true"
"http://orkg.org/orkg/resource/R193044","analysis","true","true","true","true","false","true","true","true","false","true","false","false","true"
"http://orkg.org/orkg/resource/R279086","analysis","true","true","true","true","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R220538","analysis","true","true","true","false","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R193925","analysis","true","true","true","false","true","false","false","true","false","false","false","false","true"
"http://orkg.org/orkg/resource/R280498","analysis","true","true","true","true","false","false","false","true","false","false","false","false","true"
"http://orkg.org/orkg/resource/R228189","analysis","true","true","true","false","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R280765","analysis","true","true","true","false","false","true","true","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R220874","analysis","true","true","true","false","false","false","false","true","false","true","false","false","true"
"http://orkg.org/orkg/resource/R220583","analysis","true","true","true","true","false","false","true","true","false","false","false","false","true"
"http://orkg.org/orkg/resource/R193898","analysis","true","true","true","false","false","false","false","true","false","false","false","false","true"
"http://orkg.org/orkg/resource/R194281","analysis","true","true","true","false","false","false","false","true","false","false","false","false","true"
"http://orkg.org/orkg/resource/R195201","analysis","true","true","true","false","false","false","false","true","false","true","false","false","true"
"http://orkg.org/orkg/resource/R198797","analysis","true","true","true","true","false","false","true","true","false","false","false","false","true"
"http://orkg.org/orkg/resource/R113160","analysis","true","true","true","true","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R200106","analysis","true","true","true","true","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R198979","analysis","true","true","true","true","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R196046","analysis","true","true","true","false","false","true","true","true","false","false","false","false","true"
"http://orkg.org/orkg/resource/R113008","analysis","true","true","true","false","false","false","false","false","true","true","false","false","true"
"http://orkg.org/orkg/resource/R194317","analysis","true","true","true","false","false","true","false","true","false","false","false","false","true"
"http://orkg.org/orkg/resource/R193385","analysis","true","true","true","true","false","true","true","true","false","true","false","false","true"
"http://orkg.org/orkg/resource/R78432","analysis","true","true","true","true","false","false","true","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R198944","analysis","true","true","true","true","false","true","true","true","false","true","false","false","true"
"http://orkg.org/orkg/resource/R195986","analysis","true","true","false","true","false","true","true","true","false","false","false","false","true"
"http://orkg.org/orkg/resource/R78432","analysis","true","false","true","true","false","false","true","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R221821","analysis","true","false","true","false","false","false","false","true","false","true","false","false","true"
"http://orkg.org/orkg/resource/R192345","analysis",,,"true","false","false","false","false","false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R76792","analysis","true","true","true","false","false","false","false",,,,"false","false","true"
"http://orkg.org/orkg/resource/R211302","analysis","true","true","true","true","false","true","true",,,,"false","false","true"
"http://orkg.org/orkg/resource/R199136","analysis","true","true","true","true","false","true","true",,,,"false","false","true"
"http://orkg.org/orkg/resource/R192445","analysis","true","true","true","false","false","true","true",,,,"false","false","true"
"http://orkg.org/orkg/resource/R194401","analysis","true","true","false","true","false","false","false",,,,"false","false","true"
"http://orkg.org/orkg/resource/R222375","analysis","true","true","true","false","false","false","false",,,,"false","false","true"
"http://orkg.org/orkg/resource/R76818","analysis","true","true","true","false","false","false","false",,,,"false","false","true"
"http://orkg.org/orkg/resource/R194932","analysis","true","true","true","false","false","true","true",,,,"false","false","true"
"http://orkg.org/orkg/resource/R200061","analysis","true","true","true","true","false","true","true",,,,"false","false","true"
"http://orkg.org/orkg/resource/R193490","analysis","true","true","true","true","false","false","true",,,,"false","false","true"
"http://orkg.org/orkg/resource/R576765","analysis","true","true",,,,,,"false","false","true","false","false","true"
"http://orkg.org/orkg/resource/R227514","analysis","false","true",,,,,,,,,"false","false","true"
"http://orkg.org/orkg/resource/R221156","analysis","true","false",,,,,,,,,"false","false","true"
"http://orkg.org/orkg/resource/R193089","analysis","true","true","true","true","false","false","false","false","false","true",,,
"http://orkg.org/orkg/resource/R194253","analysis","true","true","true","false","false","false","false","true","false","false",,,
"http://orkg.org/orkg/resource/R194373","analysis","true","true","true","true","false","false","false","true","false","false",,,
