"paper","da_label","test"
"http://orkg.org/orkg/resource/R227514","analysis","fisher exact test"
"http://orkg.org/orkg/resource/R193295","analysis","Wilcoxon test"
"http://orkg.org/orkg/resource/R193308","analysis","Linear Regression"
"http://orkg.org/orkg/resource/R193920","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R227465","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R193044","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R194281","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R227514","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R283080","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R194431","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R228189","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R193295","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R192345","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R193044","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194281","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194431","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194458","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R228189","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194431","analysis","t-test"
"http://orkg.org/orkg/resource/R228189","analysis","t-test"
"http://orkg.org/orkg/resource/R193441","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R228211","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R229273","analysis","dunn-test"
"http://orkg.org/orkg/resource/R229273","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R193295","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R229273","analysis","bonferroni adjustment"
"http://orkg.org/orkg/resource/R192345","analysis","welch t-test"
"http://orkg.org/orkg/resource/R194458","analysis","welch t-test"
"http://orkg.org/orkg/resource/R192345","analysis","levene test"
"http://orkg.org/orkg/resource/R192345","analysis","games-howell post-hoc"
"http://orkg.org/orkg/resource/R193044","analysis","one sample t-test"
"http://orkg.org/orkg/resource/R193044","analysis","percentile method"
"http://orkg.org/orkg/resource/R193308","analysis","multiple regression"
"http://orkg.org/orkg/resource/R193418","analysis","chi-squared test"
"http://orkg.org/orkg/resource/R193490","analysis","chi-squared test"
"http://orkg.org/orkg/resource/R194281","analysis","paired t-test"
"http://orkg.org/orkg/resource/R193929","analysis","paired t-test"
"http://orkg.org/orkg/resource/R194281","analysis","f-test"
"http://orkg.org/orkg/resource/R194281","analysis","unpaired two samples t-test"
"http://orkg.org/orkg/resource/R194281","analysis","unpaired two-samples Wilcoxon test"
"http://orkg.org/orkg/resource/R194373","analysis","mann-whitney-wilcoxon test"
"http://orkg.org/orkg/resource/R194373","analysis","Spearman rank-order correlation"
"http://orkg.org/orkg/resource/R194401","analysis","Mann-Whitney test"
"http://orkg.org/orkg/resource/R194431","analysis","kolmogorow-smirnow test"
"http://orkg.org/orkg/resource/R194954","analysis",
"http://orkg.org/orkg/resource/R113160","analysis",
"http://orkg.org/orkg/resource/R76818","analysis",
"http://orkg.org/orkg/resource/R195182","analysis",
"http://orkg.org/orkg/resource/R195201","analysis",
"http://orkg.org/orkg/resource/R195713","analysis",
"http://orkg.org/orkg/resource/R195789","analysis",
"http://orkg.org/orkg/resource/R195857","analysis",
"http://orkg.org/orkg/resource/R195679","analysis",
"http://orkg.org/orkg/resource/R195849","analysis",
"http://orkg.org/orkg/resource/R195986","analysis",
"http://orkg.org/orkg/resource/R196021","analysis",
"http://orkg.org/orkg/resource/R196033","analysis",
"http://orkg.org/orkg/resource/R196046","analysis",
"http://orkg.org/orkg/resource/R198856","analysis",
"http://orkg.org/orkg/resource/R74547","analysis",
"http://orkg.org/orkg/resource/R198944","analysis",
"http://orkg.org/orkg/resource/R198979","analysis",
"http://orkg.org/orkg/resource/R199136","analysis",
"http://orkg.org/orkg/resource/R113204","analysis",
"http://orkg.org/orkg/resource/R200061","analysis",
"http://orkg.org/orkg/resource/R211106","analysis",
"http://orkg.org/orkg/resource/R211302","analysis",
"http://orkg.org/orkg/resource/R211394","analysis",
"http://orkg.org/orkg/resource/R211428","analysis",
"http://orkg.org/orkg/resource/R211438","analysis",
