"paper","year","da_label","descriptive","inferential","machine_learning","method"
"http://orkg.org/orkg/resource/R113067",2017,"analysis","descriptive","inferential","machine learning","grounded theory"
"http://orkg.org/orkg/resource/R220898",2012,"analysis","descriptive","inferential","machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R113067",2017,"analysis","descriptive","inferential","machine learning","axial coding"
"http://orkg.org/orkg/resource/R113067",2017,"analysis","descriptive","inferential","machine learning","open coding"
"http://orkg.org/orkg/resource/R113067",2017,"analysis","descriptive","inferential","machine learning","selective coding"
"http://orkg.org/orkg/resource/R193920",2020,"analysis","descriptive","inferential","machine learning","content analysis"
"http://orkg.org/orkg/resource/R113067",2017,"analysis","descriptive","inferential","machine learning","content analysis"
"http://orkg.org/orkg/resource/R113067",2017,"analysis","descriptive","inferential","machine learning","peer-coding"
"http://orkg.org/orkg/resource/R211370",2014,"analysis","descriptive","inferential","machine learning","coding"
"http://orkg.org/orkg/resource/R195849",2017,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R220343",2013,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R584044",2004,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R220633",2013,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R227465",2022,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R227514",2022,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R193929",2020,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R193490",2020,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R76818",2018,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R194932",2018,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R113160",2018,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R220364",2013,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R369238",2007,"analysis","descriptive","inferential","machine learning",
"http://orkg.org/orkg/resource/R193798",2021,"analysis","descriptive",,"machine learning","Crowdsourcing"
"http://orkg.org/orkg/resource/R580049",2005,"analysis","descriptive",,"machine learning","Time complexity"
"http://orkg.org/orkg/resource/R193481",2020,"analysis","descriptive",,"machine learning","grounded theory"
"http://orkg.org/orkg/resource/R195998",2017,"analysis","descriptive",,"machine learning","grounded theory"
"http://orkg.org/orkg/resource/R193025",2021,"analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R194084",2020,"analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R211336",2014,"analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R586470",2003,"analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R279079",2010,"analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R280486",2010,"analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R287873",2008,"analysis","descriptive",,"machine learning","comparative analysis"
"http://orkg.org/orkg/resource/R228262",2022,"analysis","descriptive",,"machine learning","individual coding"
"http://orkg.org/orkg/resource/R228262",2022,"analysis","descriptive",,"machine learning","pair coding"
"http://orkg.org/orkg/resource/R196070",2017,"analysis","descriptive",,"machine learning","thematic analysis"
"http://orkg.org/orkg/resource/R193828",2021,"analysis","descriptive",,"machine learning","category coding"
"http://orkg.org/orkg/resource/R195113",2018,"analysis","descriptive",,"machine learning","protocol coding"
"http://orkg.org/orkg/resource/R193828",2021,"analysis","descriptive",,"machine learning","manual coding"
"http://orkg.org/orkg/resource/R193828",2021,"analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R194253",2019,"analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R194360",2019,"analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R108199",2017,"analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R112434",2017,"analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R196014",2017,"analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R111988",2016,"analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R78392",2015,"analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R211351",2014,"analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R195597",2017,"analysis","descriptive",,"machine learning","content analysis"
"http://orkg.org/orkg/resource/R193341",2021,"analysis","descriptive",,"machine learning","regularity analysis"
"http://orkg.org/orkg/resource/R193371",2020,"analysis","descriptive",,"machine learning","error analysis"
"http://orkg.org/orkg/resource/R193481",2020,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R193898",2020,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194139",2020,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194360",2019,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194610",2019,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R76792",2017,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R195998",2017,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194607",2019,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R195495",2017,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R198972",2016,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R78392",2015,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R211351",2014,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R225589",2012,"analysis","descriptive",,"machine learning","coding"
"http://orkg.org/orkg/resource/R194125",2020,"analysis","descriptive",,"machine learning","post-mortem analysis"
"http://orkg.org/orkg/resource/R196014",2017,"analysis","descriptive",,"machine learning","two-cycle coding"
"http://orkg.org/orkg/resource/R108199",2017,"analysis","descriptive",,"machine learning","human judgement"
"http://orkg.org/orkg/resource/R220303",2013,"analysis","descriptive",,"machine learning","Readability analysis"
"http://orkg.org/orkg/resource/R369142",2007,"analysis","descriptive",,"machine learning","subjective analysis"
"http://orkg.org/orkg/resource/R596003",2001,"analysis","descriptive",,"machine learning","Software Cost Reduction"
"http://orkg.org/orkg/resource/R193385",2020,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R198689",2016,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R199028",2015,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R199113",2015,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211327",2014,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211380",2014,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211452",2014,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R211459",2014,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R220354",2013,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R276031",2011,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R276051",2011,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R279109",2010,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R576739",2006,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R558201",2006,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R580133",2005,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R583105",2005,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R583135",2005,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R584020",2004,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R589047",2002,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R220605",2013,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R221176",2012,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R227533",2022,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R281188",2009,"analysis","descriptive",,"machine learning",
"http://orkg.org/orkg/resource/R229316",2022,"analysis","descriptive",,"machine learning",
