"paper","number_of_inf_methods","number_of_des_methods","number_of_ml_methods","number_of_other_methods","year"
"http://orkg.org/orkg/resource/R1509792",0,1,0,2,2023
"http://orkg.org/orkg/resource/R199158",0,1,0,0,2015
"http://orkg.org/orkg/resource/R196021",1,1,0,0,2017
"http://orkg.org/orkg/resource/R603589",0,1,0,1,1998
"http://orkg.org/orkg/resource/R597186",0,0,0,1,2001
"http://orkg.org/orkg/resource/R220858",0,1,0,1,2012
"http://orkg.org/orkg/resource/R644694",0,0,0,3,1997
"http://orkg.org/orkg/resource/R576757",0,1,0,1,2006
"http://orkg.org/orkg/resource/R369238",1,1,1,0,2007
"http://orkg.org/orkg/resource/R211404",0,1,0,0,2014
"http://orkg.org/orkg/resource/R193467",0,1,0,2,2020
"http://orkg.org/orkg/resource/R211394",1,1,0,0,2014
"http://orkg.org/orkg/resource/R1556636",0,1,1,1,2025
"http://orkg.org/orkg/resource/R1496437",0,1,0,2,2023
"http://orkg.org/orkg/resource/R194345",0,1,1,0,2019
"http://orkg.org/orkg/resource/R1385617",0,0,0,1,1993
"http://orkg.org/orkg/resource/R249016",0,1,0,1,2011
"http://orkg.org/orkg/resource/R586527",0,0,0,1,2003
"http://orkg.org/orkg/resource/R194698",0,1,0,1,2018
"http://orkg.org/orkg/resource/R194401",1,1,0,1,2019
"http://orkg.org/orkg/resource/R225574",0,1,0,0,2012
"http://orkg.org/orkg/resource/R195806",0,1,0,2,2017
"http://orkg.org/orkg/resource/R211452",0,1,1,0,2014
"http://orkg.org/orkg/resource/R1543544",0,1,0,3,2023
"http://orkg.org/orkg/resource/R112434",0,1,1,1,2017
"http://orkg.org/orkg/resource/R661896",0,0,0,1,1997
"http://orkg.org/orkg/resource/R194125",0,1,1,1,2020
"http://orkg.org/orkg/resource/R584085",0,0,0,1,2003
"http://orkg.org/orkg/resource/R287812",0,1,0,0,2008
"http://orkg.org/orkg/resource/R583105",0,1,1,0,2005
"http://orkg.org/orkg/resource/R716516",0,0,0,3,1994
"http://orkg.org/orkg/resource/R283080",1,1,0,1,2009
"http://orkg.org/orkg/resource/R578059",0,1,0,1,2005
"http://orkg.org/orkg/resource/R601221",0,1,0,2,1998
"http://orkg.org/orkg/resource/R580100",0,1,0,2,2005
"http://orkg.org/orkg/resource/R195153",0,1,0,1,2018
"http://orkg.org/orkg/resource/R227482",0,0,0,3,2022
"http://orkg.org/orkg/resource/R678146",0,1,0,1,1996
"http://orkg.org/orkg/resource/R193035",0,1,0,3,2021
"http://orkg.org/orkg/resource/R606919",0,1,0,3,1999
"http://orkg.org/orkg/resource/R195857",1,1,0,0,2017
"http://orkg.org/orkg/resource/R221183",0,1,0,0,2012
"http://orkg.org/orkg/resource/R220898",1,1,1,1,2012
"http://orkg.org/orkg/resource/R583066",0,1,0,1,2005
"http://orkg.org/orkg/resource/R194954",1,1,0,0,2018
"http://orkg.org/orkg/resource/R198979",1,1,0,1,2016
"http://orkg.org/orkg/resource/R554468",0,1,0,1,2007
"http://orkg.org/orkg/resource/R598223",0,0,0,1,2001
"http://orkg.org/orkg/resource/R193929",1,1,1,0,2020
"http://orkg.org/orkg/resource/R280486",0,1,1,1,2010
"http://orkg.org/orkg/resource/R194641",0,1,0,2,2020
"http://orkg.org/orkg/resource/R220845",1,1,0,0,2012
"http://orkg.org/orkg/resource/R198673",0,1,0,0,2016
"http://orkg.org/orkg/resource/R193330",0,0,0,4,2021
"http://orkg.org/orkg/resource/R195519",0,1,0,2,2017
"http://orkg.org/orkg/resource/R276009",0,1,0,0,2011
"http://orkg.org/orkg/resource/R583172",1,1,0,0,2004
"http://orkg.org/orkg/resource/R196070",0,1,1,1,2017
"http://orkg.org/orkg/resource/R288443",0,0,0,1,2008
"http://orkg.org/orkg/resource/R221176",0,1,1,0,2012
"http://orkg.org/orkg/resource/R584036",0,1,0,1,2004
