"paper","da_label","count","percent","mean","median","mode","minimum","maximum","range","variance","standard_deviation","boxplot"
"http://orkg.org/orkg/resource/R159690","analysis",1,1,1,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R192345","analysis",0,0,1,0,0,0,0,0,0,1,1
"http://orkg.org/orkg/resource/R192386","analysis",1,1,0,0,0,0,1,0,0,0,0
"http://orkg.org/orkg/resource/R192398","analysis",1,1,0,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R192428","analysis",1,1,1,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R192445","analysis",1,1,1,0,0,1,1,0,0,0,1
"http://orkg.org/orkg/resource/R193025","analysis",1,1,1,0,0,0,0,1,0,0,0
"http://orkg.org/orkg/resource/R193035","analysis",1,0,0,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193044","analysis",1,1,1,1,0,1,1,1,0,1,1
"http://orkg.org/orkg/resource/R193089","analysis",1,1,1,1,0,0,0,0,0,1,0
"http://orkg.org/orkg/resource/R193108","analysis",1,0,0,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193295","analysis",1,1,0,1,1,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193308","analysis",1,0,1,1,0,1,1,1,0,1,0
"http://orkg.org/orkg/resource/R193336","analysis",1,1,1,0,0,0,0,0,0,1,0
"http://orkg.org/orkg/resource/R193341","analysis",1,1,1,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193357","analysis",1,1,0,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193371","analysis",1,1,0,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193385","analysis",1,1,1,1,0,1,1,1,0,1,1
"http://orkg.org/orkg/resource/R193406","analysis",1,0,0,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193418","analysis",1,1,0,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193441","analysis",1,0,0,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193467","analysis",1,0,0,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193481","analysis",1,1,1,0,0,0,0,1,0,0,0
"http://orkg.org/orkg/resource/R193490","analysis",1,1,1,1,0,0,1,0,0,0,1
"http://orkg.org/orkg/resource/R193798","analysis",1,1,1,0,0,0,0,0,0,0,0
"http://orkg.org/orkg/resource/R193828","analysis",1,1,1,1,0,1,1,0,0,0,0
