"paper","da_label","test"
"http://orkg.org/orkg/resource/R192345","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R192345","analysis","welch t-test"
"http://orkg.org/orkg/resource/R192345","analysis","levene test"
"http://orkg.org/orkg/resource/R192345","analysis","games-howell post-hoc"
"http://orkg.org/orkg/resource/R193044","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R193044","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R193044","analysis","one sample t-test"
"http://orkg.org/orkg/resource/R193044","analysis","percentile method"
"http://orkg.org/orkg/resource/R193295","analysis","Wilcoxon test"
"http://orkg.org/orkg/resource/R193295","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R193295","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R193308","analysis","Linear Regression"
"http://orkg.org/orkg/resource/R193308","analysis","multiple regression"
"http://orkg.org/orkg/resource/R193418","analysis","chi-square test"
"http://orkg.org/orkg/resource/R193441","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R193490","analysis","chi-square test"
"http://orkg.org/orkg/resource/R193920","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R193929","analysis","paired t-test"
"http://orkg.org/orkg/resource/R194281","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R194281","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194281","analysis","paired t-test"
"http://orkg.org/orkg/resource/R194281","analysis","f-test"
"http://orkg.org/orkg/resource/R194281","analysis","unpaired two samples t-test"
"http://orkg.org/orkg/resource/R194281","analysis","unpaired two-samples Wilcoxon test"
"http://orkg.org/orkg/resource/R194373","analysis","mann-whitney-wilcoxon test"
"http://orkg.org/orkg/resource/R194373","analysis","Spearman rank-order correlation"
"http://orkg.org/orkg/resource/R194401","analysis","Mann-Whitney test"
"http://orkg.org/orkg/resource/R194431","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R194431","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194431","analysis","t-test"
"http://orkg.org/orkg/resource/R194431","analysis","kolmogorow-smirnow test"
"http://orkg.org/orkg/resource/R194458","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R194458","analysis","welch t-test"
"http://orkg.org/orkg/resource/R194932","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R194954","analysis","wilcoxon-mann-whitney u test"
"http://orkg.org/orkg/resource/R195129","analysis","regression model"
"http://orkg.org/orkg/resource/R195182","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R195182","analysis","welch t-test"
"http://orkg.org/orkg/resource/R195201","analysis","paired two-tailed Student’s t-test"
"http://orkg.org/orkg/resource/R195679","analysis","Linear Regression"
"http://orkg.org/orkg/resource/R195679","analysis","multi-level regression"
"http://orkg.org/orkg/resource/R195713","analysis","dunn-test"
"http://orkg.org/orkg/resource/R195713","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R195767","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R195789","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R195849","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R195857","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R195857","analysis","bonferroni adjustment"
"http://orkg.org/orkg/resource/R195857","analysis","Friedman non-parametric test"
"http://orkg.org/orkg/resource/R195857","analysis","Mann-Whitney non-parametric test"
"http://orkg.org/orkg/resource/R195986","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R195986","analysis","levene test"
"http://orkg.org/orkg/resource/R195986","analysis","ANOVA"
"http://orkg.org/orkg/resource/R195986","analysis","Tukey’s HSD test"
"http://orkg.org/orkg/resource/R196021","analysis","Wilcoxon test"
"http://orkg.org/orkg/resource/R196033","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R196033","analysis","t-test"
"http://orkg.org/orkg/resource/R196033","analysis","levene test"
"http://orkg.org/orkg/resource/R196033","analysis","kolmogorow-smirnow test"
"http://orkg.org/orkg/resource/R196046","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R196046","analysis","Spearman rank-order correlation"
"http://orkg.org/orkg/resource/R196046","analysis","Binary  Exploratory Factor Analysis"
"http://orkg.org/orkg/resource/R196046","analysis","Pearson cross-factor correlation analysis"
"http://orkg.org/orkg/resource/R196046","analysis","Kruskal-Wallis post-hoc test"
"http://orkg.org/orkg/resource/R198681","analysis","multi-level regression"
"http://orkg.org/orkg/resource/R198944","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R198944","analysis","multiple regression"
"http://orkg.org/orkg/resource/R198979","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R198979","analysis","linear mixed models"
"http://orkg.org/orkg/resource/R199123","analysis","Wilcoxon’s ranksum test"
"http://orkg.org/orkg/resource/R199136","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R199136","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R199136","analysis","Spearman rank-order correlation"
"http://orkg.org/orkg/resource/R199136","analysis","benjamini-hochberg correction "
"http://orkg.org/orkg/resource/R200049","analysis","multi-level regression"
"http://orkg.org/orkg/resource/R200061","analysis","Wilcoxon test"
"http://orkg.org/orkg/resource/R200061","analysis","t-test"
"http://orkg.org/orkg/resource/R200061","analysis","kolmogorow-smirnow test"
"http://orkg.org/orkg/resource/R211106","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R211302","analysis","t-test"
"http://orkg.org/orkg/resource/R211370","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R211394","analysis","t-test"
"http://orkg.org/orkg/resource/R211394","analysis","    Iglewicz and Hoaglin’s modified Z-score"
"http://orkg.org/orkg/resource/R211428","analysis","Linear Regression"
"http://orkg.org/orkg/resource/R211428","analysis","correlation"
"http://orkg.org/orkg/resource/R1388590","analysis","unpaired t-test"
"http://orkg.org/orkg/resource/R1500294","analysis","Kruskal-Wallis Rank Sum test"
"http://orkg.org/orkg/resource/R680058","analysis","unpaired t-test"
"http://orkg.org/orkg/resource/R680058","analysis","two-way ANOVA"
"http://orkg.org/orkg/resource/R684258","analysis","L statistic"
"http://orkg.org/orkg/resource/R684258","analysis","Cronbach alpha coefficient"
"http://orkg.org/orkg/resource/R684258","analysis","correlation"
"http://orkg.org/orkg/resource/R113008","analysis","Wilcoxon’s ranksum test"
"http://orkg.org/orkg/resource/R113067","analysis","Student’s t-test"
"http://orkg.org/orkg/resource/R113160","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R113160","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R113160","analysis","bonferroni adjustment"
"http://orkg.org/orkg/resource/R113204","analysis","t-test"
"http://orkg.org/orkg/resource/R74547","analysis","ANOVA"
"http://orkg.org/orkg/resource/R76818","analysis","Wilcoxon’s ranksum test"
"http://orkg.org/orkg/resource/R220314","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R220323","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R220343","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R220364","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R220538","analysis","Linear Regression"
"http://orkg.org/orkg/resource/R220538","analysis","t-test"
"http://orkg.org/orkg/resource/R220538","analysis","ANOVA"
"http://orkg.org/orkg/resource/R220583","analysis","chi-square test"
"http://orkg.org/orkg/resource/R220583","analysis","kolmogorow-smirnow test"
"http://orkg.org/orkg/resource/R220583","analysis","Wilcoxon’s ranksum test"
"http://orkg.org/orkg/resource/R220583","analysis","two-sample t-test"
"http://orkg.org/orkg/resource/R220583","analysis","Hartigans’ dip test"
"http://orkg.org/orkg/resource/R220633","analysis","Linear Regression"
"http://orkg.org/orkg/resource/R220633","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R220845","analysis","multiple regression"
"http://orkg.org/orkg/resource/R220845","analysis","two-sample t-test"
"http://orkg.org/orkg/resource/R220874","analysis","one-sample t-test"
"http://orkg.org/orkg/resource/R220881","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R220898","analysis","Mann-Whitney test"
"http://orkg.org/orkg/resource/R221821","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R221821","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R221821","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R221821","analysis","levene test"
"http://orkg.org/orkg/resource/R221821","analysis","f-test"
"http://orkg.org/orkg/resource/R221821","analysis","ANOVA"
"http://orkg.org/orkg/resource/R222375","analysis","Wilcoxon test"
"http://orkg.org/orkg/resource/R222375","analysis","two-tailed binomial test"
"http://orkg.org/orkg/resource/R227465","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R227514","analysis","fisher exact test"
"http://orkg.org/orkg/resource/R227514","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R228189","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R228189","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R228189","analysis","t-test"
"http://orkg.org/orkg/resource/R228211","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R229273","analysis","dunn-test"
"http://orkg.org/orkg/resource/R229273","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R229273","analysis","bonferroni adjustment"
"http://orkg.org/orkg/resource/R249030","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R249030","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R249030","analysis","chi-square test"
"http://orkg.org/orkg/resource/R249030","analysis","Mann-Whitney test"
"http://orkg.org/orkg/resource/R265019","analysis","multiple regression"
"http://orkg.org/orkg/resource/R265019","analysis","ANOVA"
"http://orkg.org/orkg/resource/R265019","analysis","ANCOVA"
"http://orkg.org/orkg/resource/R279086","analysis","permutation test"
"http://orkg.org/orkg/resource/R280498","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R280738","analysis","spearman correlation"
"http://orkg.org/orkg/resource/R280738","analysis","chi-square test"
"http://orkg.org/orkg/resource/R280765","analysis","levene test"
"http://orkg.org/orkg/resource/R280765","analysis","t-test"
"http://orkg.org/orkg/resource/R281194","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R281194","analysis","kolmogorow-smirnow test"
"http://orkg.org/orkg/resource/R281194","analysis","paired sample test"
"http://orkg.org/orkg/resource/R283080","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R287851","analysis","chi-square test"
"http://orkg.org/orkg/resource/R287851","analysis","z-test"
"http://orkg.org/orkg/resource/R287851","analysis","wilcoxon-mann-whitney test"
"http://orkg.org/orkg/resource/R287851","analysis","linear-by-linear association test"
"http://orkg.org/orkg/resource/R288742","analysis","quadratic assignment procedure correlation test"
"http://orkg.org/orkg/resource/R288764","analysis","t-test"
"http://orkg.org/orkg/resource/R288764","analysis","f-test"
"http://orkg.org/orkg/resource/R369238","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R596028","analysis","chi-square test"
"http://orkg.org/orkg/resource/R598284","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R606868","analysis","t-test"
"http://orkg.org/orkg/resource/R647097","analysis","chi-square test"
"http://orkg.org/orkg/resource/R1552227","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R1552227","analysis","Friedman test"
"http://orkg.org/orkg/resource/R1552227","analysis","Nemenyi’s post-hoc test"
"http://orkg.org/orkg/resource/R1552227","analysis","Cohen's D"
"http://orkg.org/orkg/resource/R1556048","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R1556048","analysis","chi-square test"
"http://orkg.org/orkg/resource/R1556048","analysis","one-way ANOVA"
"http://orkg.org/orkg/resource/R1556048","analysis","bonferroni correction"
"http://orkg.org/orkg/resource/R1556186","analysis","Bayesian data analysis"
"http://orkg.org/orkg/resource/R1556208","analysis","Wilcoxon paired signed rank test"
"http://orkg.org/orkg/resource/R1556286","analysis","mann-whitney-u test"
"http://orkg.org/orkg/resource/R1556286","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R1556286","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R1556765","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R1556765","analysis","paired two-tailed Student’s t-test"
"http://orkg.org/orkg/resource/R1556765","analysis","mixed-effect Bradley-Terry model"
"http://orkg.org/orkg/resource/R1556812","analysis","chi-square test"
"http://orkg.org/orkg/resource/R1556812","analysis","Spearman rank correlation"
"http://orkg.org/orkg/resource/R1556906","analysis","wilcoxon signed rank test"
"http://orkg.org/orkg/resource/R1556906","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R1556946","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R1556946","analysis","Spearman rank-order correlation"
"http://orkg.org/orkg/resource/R1556946","analysis","kolmogorow-smirnow test"
"http://orkg.org/orkg/resource/R576765","analysis","kruskal-wallis test"
"http://orkg.org/orkg/resource/R580077","analysis","shapiro-wilk test"
"http://orkg.org/orkg/resource/R580077","analysis","levene test"
"http://orkg.org/orkg/resource/R580077","analysis","ANOVA"
"http://orkg.org/orkg/resource/R580119","analysis","pearson correlation"
"http://orkg.org/orkg/resource/R580119","analysis","chi-square test"
"http://orkg.org/orkg/resource/R583172","analysis","factor analysis"
"http://orkg.org/orkg/resource/R583903","analysis","binomial test"
"http://orkg.org/orkg/resource/R584044","analysis","Spearman rank-order correlation"
"http://orkg.org/orkg/resource/R586519","analysis","paired t-test"
"http://orkg.org/orkg/resource/R587118","analysis","t-test"
"http://orkg.org/orkg/resource/R588540","analysis","binomial test"
"http://orkg.org/orkg/resource/R588979","analysis","correlation"
"http://orkg.org/orkg/resource/R1435100","analysis","Cohen's D"
"http://orkg.org/orkg/resource/R1435100","analysis","unpaired two tailed t-test"
"http://orkg.org/orkg/resource/R1435100","analysis","Spearman rank correlation"
"http://orkg.org/orkg/resource/R159690","analysis",
"http://orkg.org/orkg/resource/R192386","analysis",
"http://orkg.org/orkg/resource/R192398","analysis",
"http://orkg.org/orkg/resource/R192428","analysis",
"http://orkg.org/orkg/resource/R192445","analysis",
"http://orkg.org/orkg/resource/R193022","analysis",
"http://orkg.org/orkg/resource/R193025","analysis",
"http://orkg.org/orkg/resource/R193035","analysis",
"http://orkg.org/orkg/resource/R193070","analysis",
"http://orkg.org/orkg/resource/R193089","analysis",
"http://orkg.org/orkg/resource/R193108","analysis",
"http://orkg.org/orkg/resource/R193330","analysis",
"http://orkg.org/orkg/resource/R193336","analysis",
"http://orkg.org/orkg/resource/R193341","analysis",
"http://orkg.org/orkg/resource/R193357","analysis",
"http://orkg.org/orkg/resource/R193371","analysis",
"http://orkg.org/orkg/resource/R193385","analysis",
"http://orkg.org/orkg/resource/R193406","analysis",
"http://orkg.org/orkg/resource/R193467","analysis",
"http://orkg.org/orkg/resource/R193481","analysis",
"http://orkg.org/orkg/resource/R193798","analysis",
"http://orkg.org/orkg/resource/R193818","analysis",
"http://orkg.org/orkg/resource/R193828","analysis",
"http://orkg.org/orkg/resource/R193849","analysis",
"http://orkg.org/orkg/resource/R193866","analysis",
"http://orkg.org/orkg/resource/R193898","analysis",
"http://orkg.org/orkg/resource/R193925","analysis",
"http://orkg.org/orkg/resource/R194054","analysis",
"http://orkg.org/orkg/resource/R194084","analysis",
"http://orkg.org/orkg/resource/R194093","analysis",
"http://orkg.org/orkg/resource/R194114","analysis",
"http://orkg.org/orkg/resource/R194125","analysis",
"http://orkg.org/orkg/resource/R194139","analysis",
"http://orkg.org/orkg/resource/R194237","analysis",
"http://orkg.org/orkg/resource/R194253","analysis",
"http://orkg.org/orkg/resource/R194317","analysis",
"http://orkg.org/orkg/resource/R194345","analysis",
"http://orkg.org/orkg/resource/R194360","analysis",
"http://orkg.org/orkg/resource/R194414","analysis",
"http://orkg.org/orkg/resource/R194428","analysis",
"http://orkg.org/orkg/resource/R194445","analysis",
"http://orkg.org/orkg/resource/R194474","analysis",
"http://orkg.org/orkg/resource/R194607","analysis",
"http://orkg.org/orkg/resource/R194610","analysis",
"http://orkg.org/orkg/resource/R194641","analysis",
"http://orkg.org/orkg/resource/R194686","analysis",
"http://orkg.org/orkg/resource/R194698","analysis",
"http://orkg.org/orkg/resource/R194884","analysis",
