"paper","number_of_dc_methods","year"
"http://orkg.org/orkg/resource/R280738",1,2009
"http://orkg.org/orkg/resource/R285771",1,2008
"http://orkg.org/orkg/resource/R287873",1,2008
"http://orkg.org/orkg/resource/R288476",1,2007
"http://orkg.org/orkg/resource/R288801",1,2007
"http://orkg.org/orkg/resource/R369142",1,2007
"http://orkg.org/orkg/resource/R597889",1,2001
"http://orkg.org/orkg/resource/R598223",1,2001
"http://orkg.org/orkg/resource/R605881",1,1998
"http://orkg.org/orkg/resource/R606309",1,1999
"http://orkg.org/orkg/resource/R609340",1,1997
"http://orkg.org/orkg/resource/R680028",1,1995
"http://orkg.org/orkg/resource/R684242",2,1995
"http://orkg.org/orkg/resource/R193920",3,2020
"http://orkg.org/orkg/resource/R193925",1,2020
"http://orkg.org/orkg/resource/R193929",1,2020
"http://orkg.org/orkg/resource/R194084",1,2020
"http://orkg.org/orkg/resource/R194125",3,2020
"http://orkg.org/orkg/resource/R194281",1,2019
"http://orkg.org/orkg/resource/R194373",1,2019
"http://orkg.org/orkg/resource/R194431",1,2019
"http://orkg.org/orkg/resource/R194445",1,2019
"http://orkg.org/orkg/resource/R194458",1,2019
"http://orkg.org/orkg/resource/R194698",2,2018
"http://orkg.org/orkg/resource/R195113",2,2018
"http://orkg.org/orkg/resource/R195129",2,2018
"http://orkg.org/orkg/resource/R195144",3,2018
"http://orkg.org/orkg/resource/R195153",5,2018
"http://orkg.org/orkg/resource/R195669",1,2017
"http://orkg.org/orkg/resource/R198797",1,2016
"http://orkg.org/orkg/resource/R198877",3,2016
"http://orkg.org/orkg/resource/R108199",2,2017
"http://orkg.org/orkg/resource/R78392",2,2015
"http://orkg.org/orkg/resource/R578035",1,2006
"http://orkg.org/orkg/resource/R578050",1,2005
"http://orkg.org/orkg/resource/R583034",2,2005
"http://orkg.org/orkg/resource/R583209",1,2004
"http://orkg.org/orkg/resource/R583860",1,2004
"http://orkg.org/orkg/resource/R583872",1,2004
"http://orkg.org/orkg/resource/R584036",1,2004
"http://orkg.org/orkg/resource/R584073",1,2003
"http://orkg.org/orkg/resource/R586470",1,2003
"http://orkg.org/orkg/resource/R587118",1,2002
"http://orkg.org/orkg/resource/R587127",1,2002
"http://orkg.org/orkg/resource/R589038",1,2002
"http://orkg.org/orkg/resource/R221821",4,2012
"http://orkg.org/orkg/resource/R222366",1,2012
"http://orkg.org/orkg/resource/R227501",1,2022
"http://orkg.org/orkg/resource/R229316",2,2022
"http://orkg.org/orkg/resource/R279086",2,2010
"http://orkg.org/orkg/resource/R280347",2,2010
"http://orkg.org/orkg/resource/R280498",2,2010
"http://orkg.org/orkg/resource/R280754",1,2009
"http://orkg.org/orkg/resource/R280818",1,2009
"http://orkg.org/orkg/resource/R283077",1,2009
"http://orkg.org/orkg/resource/R287812",2,2008
"http://orkg.org/orkg/resource/R287836",1,2008
"http://orkg.org/orkg/resource/R605419",1,1998
"http://orkg.org/orkg/resource/R605866",2,1998
"http://orkg.org/orkg/resource/R606061",3,1998
"http://orkg.org/orkg/resource/R606839",1,1999
"http://orkg.org/orkg/resource/R606868",2,1999
"http://orkg.org/orkg/resource/R606978",4,1999
"http://orkg.org/orkg/resource/R644694",1,1997
"http://orkg.org/orkg/resource/R661896",1,1997
"http://orkg.org/orkg/resource/R675363",1,1996
"http://orkg.org/orkg/resource/R680058",2,1995
"http://orkg.org/orkg/resource/R193295",1,2021
"http://orkg.org/orkg/resource/R193308",3,2021
"http://orkg.org/orkg/resource/R194345",1,2019
"http://orkg.org/orkg/resource/R194610",1,2019
"http://orkg.org/orkg/resource/R195713",1,2017
"http://orkg.org/orkg/resource/R195806",2,2017
"http://orkg.org/orkg/resource/R198964",3,2016
"http://orkg.org/orkg/resource/R199014",1,2015
"http://orkg.org/orkg/resource/R199123",1,2015
"http://orkg.org/orkg/resource/R199158",2,2015
"http://orkg.org/orkg/resource/R200098",1,2015
"http://orkg.org/orkg/resource/R211121",3,2014
"http://orkg.org/orkg/resource/R211145",1,2014
"http://orkg.org/orkg/resource/R211294",1,2014
"http://orkg.org/orkg/resource/R211428",1,2014
"http://orkg.org/orkg/resource/R220371",1,2013
"http://orkg.org/orkg/resource/R554468",1,2007
"http://orkg.org/orkg/resource/R554861",1,2007
"http://orkg.org/orkg/resource/R158044",1,2006
"http://orkg.org/orkg/resource/R580060",1,2005
"http://orkg.org/orkg/resource/R580077",2,2005
"http://orkg.org/orkg/resource/R583952",1,2004
"http://orkg.org/orkg/resource/R586458",2,2003
"http://orkg.org/orkg/resource/R587084",1,2003
"http://orkg.org/orkg/resource/R588512",1,2002
"http://orkg.org/orkg/resource/R221156",1,2012
"http://orkg.org/orkg/resource/R222375",1,2012
"http://orkg.org/orkg/resource/R227465",1,2022
"http://orkg.org/orkg/resource/R227514",2,2022
"http://orkg.org/orkg/resource/R280486",1,2010
"http://orkg.org/orkg/resource/R280811",1,2009
"http://orkg.org/orkg/resource/R287851",1,2008
"http://orkg.org/orkg/resource/R369238",1,2007
"http://orkg.org/orkg/resource/R369685",3,2007
"http://orkg.org/orkg/resource/R596003",1,2001
"http://orkg.org/orkg/resource/R602865",1,1998
"http://orkg.org/orkg/resource/R603600",4,1998
"http://orkg.org/orkg/resource/R659470",1,1997
"http://orkg.org/orkg/resource/R660083",2,1997
"http://orkg.org/orkg/resource/R671037",3,1996
"http://orkg.org/orkg/resource/R678968",1,1995
"http://orkg.org/orkg/resource/R680008",3,1995
"http://orkg.org/orkg/resource/R684194",1,1995
"http://orkg.org/orkg/resource/R192386",1,2021
"http://orkg.org/orkg/resource/R193022",2,2021
"http://orkg.org/orkg/resource/R193406",4,2020
"http://orkg.org/orkg/resource/R193473",1,2020
"http://orkg.org/orkg/resource/R194641",2,2020
"http://orkg.org/orkg/resource/R194922",2,2018
"http://orkg.org/orkg/resource/R195005",2,2018
"http://orkg.org/orkg/resource/R195179",1,2018
"http://orkg.org/orkg/resource/R195495",1,2017
"http://orkg.org/orkg/resource/R195849",3,2017
"http://orkg.org/orkg/resource/R196021",3,2017
"http://orkg.org/orkg/resource/R196033",2,2017
"http://orkg.org/orkg/resource/R198689",4,2016
"http://orkg.org/orkg/resource/R199149",2,2015
"http://orkg.org/orkg/resource/R200045",1,2015
