"paper","year","data","url"
"http://orkg.org/orkg/resource/R227465",2022,"http://orkg.org/orkg/resource/R227474","https://github.com/RegenKordel/LYNX-TypedLinkDetection"
"http://orkg.org/orkg/resource/R249021",2011,"http://orkg.org/orkg/resource/R249026","https://github.com/neilernst/Techne-TMS"
"http://orkg.org/orkg/resource/R254495",2011,"http://orkg.org/orkg/resource/R254504","https://serg.cs.lth.se/experiment-packages/bna/"
"http://orkg.org/orkg/resource/R254495",2011,"http://orkg.org/orkg/resource/R254505","https://serg.cs.lth.se/experiment-packages/bna/"
"http://orkg.org/orkg/resource/R265006",2011,"http://orkg.org/orkg/resource/R265016","http://www.se.cs.put.poznan.pl/knowledge-base/software-projects-database/use-cases-database-ucdb"
"http://orkg.org/orkg/resource/R220323",2013,"http://orkg.org/orkg/resource/R283154","http://www.ncsu.edu/jcmaxwe3/CrossRefUserStudyMaterials.pdf"
"http://orkg.org/orkg/resource/R220354",2013,"http://orkg.org/orkg/resource/R283156","http://coest.org/mt/13/150"
"http://orkg.org/orkg/resource/R220364",2013,"http://orkg.org/orkg/resource/R283157","http://www.washington.edu/pine/"
"http://orkg.org/orkg/resource/R220643",2013,"http://orkg.org/orkg/resource/R283169","http://www.maxqda.com"
"http://orkg.org/orkg/resource/R220831",2012,"http://orkg.org/orkg/resource/R283173","http://crfpp.sourceforge.net"
"http://orkg.org/orkg/resource/R220831",2012,"http://orkg.org/orkg/resource/R283173","http://research.it.uts.edu.au/re/"
"http://orkg.org/orkg/resource/R220831",2012,"http://orkg.org/orkg/resource/R283173","http://www-tsujii.is.s.u-tokyo.ac.jp/GENIA/tagger/"
"http://orkg.org/orkg/resource/R220831",2012,"http://orkg.org/orkg/resource/R283173","http://crfpp.googlecode.com/svn/trunk/doc/index.html#usage"
"http://orkg.org/orkg/resource/R220831",2012,"http://orkg.org/orkg/resource/R283173","http://www.inf.u-szeged.hu/rgai/project/nlp/bioscope/Annotation%20guidelines2.1.pdf"
"http://orkg.org/orkg/resource/R220845",2012,"http://orkg.org/orkg/resource/R283174","http://selab.netlab.uky.edu/TechReports/techreport520-12.pdf"
"http://orkg.org/orkg/resource/R221147",2012,"http://orkg.org/orkg/resource/R283178","http://www.hhs.gov/ocr/privacy/hipaa/administrative/securityrule/"
"http://orkg.org/orkg/resource/R221147",2012,"http://orkg.org/orkg/resource/R283178","http://healthit.hhs.gov/portal/server.pt/community/healthit_hhs_gov__standards_ifr/1195"
"http://orkg.org/orkg/resource/R221163",2012,"http://orkg.org/orkg/resource/R283180","http://www.xjtek.com/anylogic/"
"http://orkg.org/orkg/resource/R221176",2012,"http://orkg.org/orkg/resource/R283182","http://www.splot-research.org/"
"http://orkg.org/orkg/resource/R221187",2012,"http://orkg.org/orkg/resource/R283184","http://www-nbp.upb.de"
"http://orkg.org/orkg/resource/R221187",2012,"http://orkg.org/orkg/resource/R283184","http://www.cs.upb.de/index.php?id=scenariotools"
"http://orkg.org/orkg/resource/R221187",2012,"http://orkg.org/orkg/resource/R283184","http://info.fundp.ac.be/fts/implementations/msd2smv"
"http://orkg.org/orkg/resource/R280498",2010,"http://orkg.org/orkg/resource/R283191","https://reactos.org/"
"http://orkg.org/orkg/resource/R280498",2010,"http://orkg.org/orkg/resource/R283193","https://www.ganttproject.biz/"
"http://orkg.org/orkg/resource/R229340",2022,"http://orkg.org/orkg/resource/R283203","https://doi.org/10.25593/issn.2191-5008/CS-2020-02"
"http://orkg.org/orkg/resource/R256580",2011,"http://orkg.org/orkg/resource/R283209","https://serg.cs.lth.se/experiment-packages/quality-requirements/"
"http://orkg.org/orkg/resource/R249016",2011,"http://orkg.org/orkg/resource/R283213","https://www.mathworks.com/products/stateflow/demos.html?file=/products/demos/stateflow/sldemo_fuelsys/sldemo_fuelsys.html"
"http://orkg.org/orkg/resource/R276024",2011,"http://orkg.org/orkg/resource/R283217","http://www.hhs.gov/ocr/privacy/hipaa/administrative/privacyrule/adminsimpregtext.pdf"
