"paper","dc_label"
"http://orkg.org/orkg/resource/R192345","experiment"
"http://orkg.org/orkg/resource/R192386","secondary research"
"http://orkg.org/orkg/resource/R192398","secondary research"
"http://orkg.org/orkg/resource/R192428","experiment"
"http://orkg.org/orkg/resource/R192445","experiment"
"http://orkg.org/orkg/resource/R193025","experiment"
"http://orkg.org/orkg/resource/R193035","secondary research"
"http://orkg.org/orkg/resource/R193044","experiment"
"http://orkg.org/orkg/resource/R193070","interview"
"http://orkg.org/orkg/resource/R193089","interview"
"http://orkg.org/orkg/resource/R193089","survey"
"http://orkg.org/orkg/resource/R193108","interview"
"http://orkg.org/orkg/resource/R193295","survey"
"http://orkg.org/orkg/resource/R193308","experiment"
"http://orkg.org/orkg/resource/R193308","experiment"
"http://orkg.org/orkg/resource/R193330","secondary research"
"http://orkg.org/orkg/resource/R193341","study"
"http://orkg.org/orkg/resource/R193357","secondary research"
"http://orkg.org/orkg/resource/R193371","case study"
"http://orkg.org/orkg/resource/R193385","interview"
"http://orkg.org/orkg/resource/R193406","interview"
"http://orkg.org/orkg/resource/R193418","survey"
"http://orkg.org/orkg/resource/R193441","case study"
"http://orkg.org/orkg/resource/R193473","study"
"http://orkg.org/orkg/resource/R193481","secondary research"
"http://orkg.org/orkg/resource/R193490","study"
"http://orkg.org/orkg/resource/R193022","secondary research"
"http://orkg.org/orkg/resource/R193818","case study"
"http://orkg.org/orkg/resource/R193828","secondary research"
"http://orkg.org/orkg/resource/R193849","case study"
"http://orkg.org/orkg/resource/R193866","secondary research"
"http://orkg.org/orkg/resource/R193898","experiment"
"http://orkg.org/orkg/resource/R193467","secondary research"
"http://orkg.org/orkg/resource/R193929","study"
"http://orkg.org/orkg/resource/R194054","study"
"http://orkg.org/orkg/resource/R194084","case study"
"http://orkg.org/orkg/resource/R194114","interview"
"http://orkg.org/orkg/resource/R194139","survey"
"http://orkg.org/orkg/resource/R194237","survey"
"http://orkg.org/orkg/resource/R194253","secondary research"
"http://orkg.org/orkg/resource/R194281","experiment"
"http://orkg.org/orkg/resource/R194317","experiment"
"http://orkg.org/orkg/resource/R194345","study"
"http://orkg.org/orkg/resource/R194360","experiment"
"http://orkg.org/orkg/resource/R194373","experiment"
"http://orkg.org/orkg/resource/R194401","experiment"
"http://orkg.org/orkg/resource/R194414","experiment"
"http://orkg.org/orkg/resource/R194431","survey"
"http://orkg.org/orkg/resource/R194445","experiment"
"http://orkg.org/orkg/resource/R194458","experiment"
"http://orkg.org/orkg/resource/R194474","interview"
"http://orkg.org/orkg/resource/R193798","experiment"
"http://orkg.org/orkg/resource/R194610","experiment"
"http://orkg.org/orkg/resource/R193925","experiment"
"http://orkg.org/orkg/resource/R194641","secondary research"
"http://orkg.org/orkg/resource/R194686","interview"
"http://orkg.org/orkg/resource/R194698","interview"
"http://orkg.org/orkg/resource/R194125","interview"
"http://orkg.org/orkg/resource/R194607","secondary research"
"http://orkg.org/orkg/resource/R194895","case study"
"http://orkg.org/orkg/resource/R194922","case study"
"http://orkg.org/orkg/resource/R194932","experiment"
"http://orkg.org/orkg/resource/R194954","interview"
"http://orkg.org/orkg/resource/R194954","survey"
"http://orkg.org/orkg/resource/R195005","secondary research"
"http://orkg.org/orkg/resource/R195023","secondary research"
"http://orkg.org/orkg/resource/R195113","case study"
"http://orkg.org/orkg/resource/R76818","experiment"
"http://orkg.org/orkg/resource/R195144","interview"
"http://orkg.org/orkg/resource/R195153","survey"
"http://orkg.org/orkg/resource/R195153","interview"
"http://orkg.org/orkg/resource/R195153","study"
"http://orkg.org/orkg/resource/R195153","study"
"http://orkg.org/orkg/resource/R195182","experiment"
"http://orkg.org/orkg/resource/R195201","survey"
"http://orkg.org/orkg/resource/R195224","interview"
"http://orkg.org/orkg/resource/R76792","secondary research"
"http://orkg.org/orkg/resource/R108199","secondary research"
"http://orkg.org/orkg/resource/R113008","study"
"http://orkg.org/orkg/resource/R195519","interview"
"http://orkg.org/orkg/resource/R113067","secondary research"
"http://orkg.org/orkg/resource/R195551","interview"
"http://orkg.org/orkg/resource/R195551","survey"
"http://orkg.org/orkg/resource/R195578","interview"
"http://orkg.org/orkg/resource/R195587","survey"
"http://orkg.org/orkg/resource/R195597","secondary research"
"http://orkg.org/orkg/resource/R195692","experiment"
"http://orkg.org/orkg/resource/R195713","experiment"
"http://orkg.org/orkg/resource/R195728","secondary research"
