"paper","year","threats_label","external","internal","construct","conclusion","reliability","generalizability","content","descriptive","theoretical","repeatability"
"http://orkg.org/orkg/resource/R211452","2014","reliability, internal","false","true","false","false","true","false","false","false","false","false"
"http://orkg.org/orkg/resource/R199005","2015","generalizability, internal, external","true","true","false","false","false","true","false","false","false","false"
"http://orkg.org/orkg/resource/R195224","2018","generalizability, reliability, construct","false","false","true","false","true","true","false","false","false","false"
"http://orkg.org/orkg/resource/R195495","2017","external, reliability","true","false","false","false","true","false","false","false","false","false"
"http://orkg.org/orkg/resource/R198833","2016","construct, conclusion, internal, external, repeatability","true","true","true","true","false","false","false","false","false","true"
"http://orkg.org/orkg/resource/R198994","2016","generalizability, descriptive validity, theoretical validity","false","false","false","false","false","true","false","true","true","false"
"http://orkg.org/orkg/resource/R288764","2007","reliability","false","false","false","false","true","false","false","false","false","false"
"http://orkg.org/orkg/resource/R192386","2021","generalizability, descriptive validity, theoretical validity, repeatability","false","false","false","false","false","true","false","true","true","true"
"http://orkg.org/orkg/resource/R254495","2011","generalizability, descriptive validity","false","false","false","false",,"true","false","true","false","false"
"http://orkg.org/orkg/resource/R159690","2011","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R192345","2021","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R193308","2021","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R193385","2020","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R193929","2020","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R194114","2020","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R194401","2019","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R194458","2019","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R194610","2019","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R194922","2018","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R195182","2018","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R195201","2018","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R112434","2017","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R195713","2017","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R195789","2017","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R195986","2017","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R196033","2017","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R198689","2016","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R198797","2016","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R74547","2016","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R198979","2016","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R200119","2015","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R211467","2014","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R220390","2013","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R220605","2013","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R220643","2013","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R220845","2012","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R221821","2012","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R228189","2022","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R228211","2022","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R229340","2022","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R256580","2011","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R265019","2011","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R276015","2011","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R279086","2010","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R279116","2010","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R280347","2010","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R280375","2010","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R280498","2010","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R280738","2009","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R281194","2009","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R576765","2006","conclusion, construct, internal, external","true","true","true","true","false","false","false",,,
"http://orkg.org/orkg/resource/R287825","2008","internal, external","true","true","false","false","false","false","false",,,
"http://orkg.org/orkg/resource/R369339","2007","internal, external","true","true","false","false","false","false","false",,,
"http://orkg.org/orkg/resource/R193336","2021","internal, external","true","true","false","false","false","false","false",,,
"http://orkg.org/orkg/resource/R193371","2020","internal, external","true","true","false","false","false","false","false",,,
"http://orkg.org/orkg/resource/R194093","2020","internal, external","true","true","false","false","false","false","false",,,
"http://orkg.org/orkg/resource/R194139","2020","internal, external","true","true","false","false","false","false","false",,,
"http://orkg.org/orkg/resource/R194253","2019","internal, external","true","true","false","false","false","false","false",,,
"http://orkg.org/orkg/resource/R194414","2019","internal, external","true","true","false","false","false","false","false",,,
"http://orkg.org/orkg/resource/R195113","2018","internal, external","true","true","false","false","false","false","false",,,
