"paper","number_of_inf_methods","number_of_des_methods","number_of_ml_methods","number_of_other_methods","year"
"http://orkg.org/orkg/resource/R220390",0,1,0,0,"2013"
"http://orkg.org/orkg/resource/R194445",0,0,1,0,"2019"
"http://orkg.org/orkg/resource/R195789",1,0,0,0,"2017"
"http://orkg.org/orkg/resource/R198797",0,1,0,0,"2016"
"http://orkg.org/orkg/resource/R195551",0,1,0,0,"2017"
"http://orkg.org/orkg/resource/R195201",1,1,0,0,"2018"
"http://orkg.org/orkg/resource/R249021",0,1,0,0,"2011"
"http://orkg.org/orkg/resource/R199162",0,1,0,0,"2015"
"http://orkg.org/orkg/resource/R227551",0,1,0,0,"2022"
"http://orkg.org/orkg/resource/R220798",0,0,0,0,"2013"
"http://orkg.org/orkg/resource/R193898",0,0,1,0,"2020"
"http://orkg.org/orkg/resource/R198833",0,1,0,0,"2016"
"http://orkg.org/orkg/resource/R254508",0,1,0,0,"2011"
"http://orkg.org/orkg/resource/R280498",1,1,0,0,"2010"
"http://orkg.org/orkg/resource/R280811",0,1,0,0,"2009"
"http://orkg.org/orkg/resource/R76818",1,0,1,0,"2018"
"http://orkg.org/orkg/resource/R198673",0,1,0,0,"2016"
"http://orkg.org/orkg/resource/R227501",0,1,0,0,"2022"
"http://orkg.org/orkg/resource/R198724",0,0,0,0,"2016"
"http://orkg.org/orkg/resource/R279109",0,0,1,0,"2010"
"http://orkg.org/orkg/resource/R280765",1,1,0,0,"2009"
"http://orkg.org/orkg/resource/R195849",1,1,1,0,"2017"
"http://orkg.org/orkg/resource/R198972",0,0,1,0,"2016"
"http://orkg.org/orkg/resource/R192445",0,0,1,0,"2021"
"http://orkg.org/orkg/resource/R194686",0,0,0,0,"2018"
"http://orkg.org/orkg/resource/R193849",0,0,0,0,"2021"
"http://orkg.org/orkg/resource/R194253",0,0,1,0,"2019"
"http://orkg.org/orkg/resource/R194932",0,0,1,0,"2018"
"http://orkg.org/orkg/resource/R221163",0,1,0,0,"2012"
"http://orkg.org/orkg/resource/R283098",0,1,0,0,"2008"
"http://orkg.org/orkg/resource/R279126",0,1,0,0,"2010"
"http://orkg.org/orkg/resource/R198979",1,1,0,0,"2016"
"http://orkg.org/orkg/resource/R265006",0,1,0,0,"2011"
"http://orkg.org/orkg/resource/R225589",0,1,1,0,"2012"
"http://orkg.org/orkg/resource/R279116",0,1,0,0,"2010"
"http://orkg.org/orkg/resource/R198856",1,1,0,0,"2016"
"http://orkg.org/orkg/resource/R220898",0,0,1,0,"2012"
"http://orkg.org/orkg/resource/R194125",0,0,1,0,"2020"
"http://orkg.org/orkg/resource/R194139",0,0,1,0,"2020"
"http://orkg.org/orkg/resource/R220618",0,1,0,0,"2013"
"http://orkg.org/orkg/resource/R195023",0,0,0,0,"2018"
"http://orkg.org/orkg/resource/R227465",1,1,1,0,"2022"
"http://orkg.org/orkg/resource/R193330",0,0,0,0,"2021"
"http://orkg.org/orkg/resource/R220323",1,1,0,0,"2013"
"http://orkg.org/orkg/resource/R254521",0,0,0,0,"2011"
"http://orkg.org/orkg/resource/R108199",0,0,1,0,"2017"
"http://orkg.org/orkg/resource/R229375",0,1,0,1,"2022"
"http://orkg.org/orkg/resource/R199014",0,1,0,0,"2015"
"http://orkg.org/orkg/resource/R195129",0,1,0,0,"2018"
"http://orkg.org/orkg/resource/R220303",0,1,0,0,"2013"
"http://orkg.org/orkg/resource/R193108",0,0,0,0,"2021"
"http://orkg.org/orkg/resource/R194974",0,0,0,0,"2018"
"http://orkg.org/orkg/resource/R194610",0,0,1,0,"2019"
"http://orkg.org/orkg/resource/R194922",0,1,0,0,"2018"
"http://orkg.org/orkg/resource/R254495",0,1,0,0,"2011"
"http://orkg.org/orkg/resource/R211283",0,0,1,0,"2014"
"http://orkg.org/orkg/resource/R221147",0,1,0,0,"2012"
"http://orkg.org/orkg/resource/R193481",0,0,1,0,"2020"
"http://orkg.org/orkg/resource/R194373",1,0,0,0,"2019"
"http://orkg.org/orkg/resource/R193022",0,0,0,0,"2021"
"http://orkg.org/orkg/resource/R280747",0,1,0,0,"2009"
"http://orkg.org/orkg/resource/R200119",0,1,0,0,"2015"
"http://orkg.org/orkg/resource/R280308",0,0,0,0,"2010"
"http://orkg.org/orkg/resource/R211411",0,0,0,0,"2014"
"http://orkg.org/orkg/resource/R280329",0,1,0,0,"2010"
"http://orkg.org/orkg/resource/R78432",0,0,1,0,"2016"
"http://orkg.org/orkg/resource/R195986",1,0,0,0,"2017"
"http://orkg.org/orkg/resource/R193828",0,0,1,0,"2021"
"http://orkg.org/orkg/resource/R227514",1,1,1,0,"2022"
"http://orkg.org/orkg/resource/R195597",0,1,1,0,"2017"
"http://orkg.org/orkg/resource/R220364",0,0,1,0,"2013"
"http://orkg.org/orkg/resource/R280412",0,1,0,0,"2010"
"http://orkg.org/orkg/resource/R220858",0,1,0,0,"2012"
"http://orkg.org/orkg/resource/R228229",0,1,0,2,"2022"
"http://orkg.org/orkg/resource/R280481",0,1,0,0,"2010"
"http://orkg.org/orkg/resource/R200042",0,1,0,0,"2015"
"http://orkg.org/orkg/resource/R227533",0,1,1,0,"2022"
"http://orkg.org/orkg/resource/R194114",0,0,0,0,"2020"
"http://orkg.org/orkg/resource/R197609",0,0,0,0,"2017"
"http://orkg.org/orkg/resource/R276051",0,0,1,0,"2011"
"http://orkg.org/orkg/resource/R193385",0,1,1,0,"2020"
"http://orkg.org/orkg/resource/R198706",0,1,0,0,"2016"
"http://orkg.org/orkg/resource/R199028",0,1,1,0,"2015"
"http://orkg.org/orkg/resource/R193920",1,0,1,0,"2020"
"http://orkg.org/orkg/resource/R195857",1,0,0,0,"2017"
"http://orkg.org/orkg/resource/R280798",0,1,0,0,"2009"
"http://orkg.org/orkg/resource/R222366",0,1,0,0,"2012"
"http://orkg.org/orkg/resource/R193089",0,1,0,0,"2021"
"http://orkg.org/orkg/resource/R229273",1,1,0,0,"2022"
"http://orkg.org/orkg/resource/R283069",0,1,0,1,"2009"
"http://orkg.org/orkg/resource/R220643",0,1,0,0,"2013"
"http://orkg.org/orkg/resource/R220838",0,1,0,0,"2012"
"http://orkg.org/orkg/resource/R195578",0,0,0,0,"2017"
"http://orkg.org/orkg/resource/R220831",0,0,1,0,"2012"
"http://orkg.org/orkg/resource/R193441",1,1,0,0,"2020"
"http://orkg.org/orkg/resource/R196033",1,1,0,0,"2017"
"http://orkg.org/orkg/resource/R280375",0,1,0,0,"2010"
"http://orkg.org/orkg/resource/R211361",0,1,0,0,"2014"
"http://orkg.org/orkg/resource/R276015",0,0,0,0,"2011"
"http://orkg.org/orkg/resource/R211404",0,0,0,0,"2014"
"http://orkg.org/orkg/resource/R211351",0,1,1,0,"2014"
"http://orkg.org/orkg/resource/R193929",0,0,1,0,"2020"
"http://orkg.org/orkg/resource/R194954",1,1,0,0,"2018"
"http://orkg.org/orkg/resource/R193406",0,0,0,0,"2020"
"http://orkg.org/orkg/resource/R211494",0,1,0,0,"2014"
"http://orkg.org/orkg/resource/R220810",0,1,0,0,"2013"
"http://orkg.org/orkg/resource/R194884",0,0,1,0,"2019"
"http://orkg.org/orkg/resource/R198917",0,1,0,0,"2016"
"http://orkg.org/orkg/resource/R211096",0,0,0,0,"2014"
"http://orkg.org/orkg/resource/R279151",0,0,0,0,"2010"
"http://orkg.org/orkg/resource/R220583",1,1,0,0,"2013"
"http://orkg.org/orkg/resource/R220633",1,1,0,0,"2013"
"http://orkg.org/orkg/resource/R256580",0,0,0,0,"2011"
"http://orkg.org/orkg/resource/R195749",0,1,0,0,"2017"
"http://orkg.org/orkg/resource/R193308",1,1,0,0,"2021"
"http://orkg.org/orkg/resource/R281172",0,1,0,0,"2009"
"http://orkg.org/orkg/resource/R199158",0,1,0,0,"2015"
