"paper","year","contribution","dc_label","da_label"
"http://orkg.org/orkg/resource/R249016","2011","http://orkg.org/orkg/resource/R249018","case study","no analysis"
"http://orkg.org/orkg/resource/R249021","2011","http://orkg.org/orkg/resource/R249023","experiment","analysis"
"http://orkg.org/orkg/resource/R249030","2011","http://orkg.org/orkg/resource/R249033","case study","analysis"
"http://orkg.org/orkg/resource/R265028","2011","http://orkg.org/orkg/resource/R265029","observation","analysis"
"http://orkg.org/orkg/resource/R276000","2011","http://orkg.org/orkg/resource/R276002","systematic literature review","no analysis"
"http://orkg.org/orkg/resource/R276009","2011","http://orkg.org/orkg/resource/R276010","experiment","analysis"
"http://orkg.org/orkg/resource/R276015","2011","http://orkg.org/orkg/resource/R276016","observation","analysis"
"http://orkg.org/orkg/resource/R276020","2011","http://orkg.org/orkg/resource/R276021","systematic literature review","no analysis"
"http://orkg.org/orkg/resource/R276024","2011","http://orkg.org/orkg/resource/R276025","case study","analysis"
"http://orkg.org/orkg/resource/R276031","2011","http://orkg.org/orkg/resource/R276032","case study","analysis"
"http://orkg.org/orkg/resource/R276045","2011","http://orkg.org/orkg/resource/R276046","experiment","analysis"
"http://orkg.org/orkg/resource/R276051","2011","http://orkg.org/orkg/resource/R276052","experiment","analysis"
"http://orkg.org/orkg/resource/R279079","2010","http://orkg.org/orkg/resource/R279081","experiment","analysis"
"http://orkg.org/orkg/resource/R279086","2010","http://orkg.org/orkg/resource/R279088","experiment","analysis"
"http://orkg.org/orkg/resource/R279109","2010","http://orkg.org/orkg/resource/R279111","experiment","analysis"
"http://orkg.org/orkg/resource/R279116","2010","http://orkg.org/orkg/resource/R279118","experiment","analysis"
"http://orkg.org/orkg/resource/R279116","2010","http://orkg.org/orkg/resource/R279118","structured interview","analysis"
"http://orkg.org/orkg/resource/R279126","2010","http://orkg.org/orkg/resource/R279128","case study","analysis"
"http://orkg.org/orkg/resource/R279136","2010","http://orkg.org/orkg/resource/R279138","workshop","no analysis"
"http://orkg.org/orkg/resource/R279141","2010","http://orkg.org/orkg/resource/R279143","semi-structured interview","analysis"
"http://orkg.org/orkg/resource/R279151","2010","http://orkg.org/orkg/resource/R279153","interview","analysis"
"http://orkg.org/orkg/resource/R159690","2011","http://orkg.org/orkg/resource/R159692","questionnaire","analysis"
"http://orkg.org/orkg/resource/R279158","2010","http://orkg.org/orkg/resource/R279160","literature review","no analysis"
"http://orkg.org/orkg/resource/R279133","2010","http://orkg.org/orkg/resource/R279135","literature review","no analysis"
"http://orkg.org/orkg/resource/R280329","2010","http://orkg.org/orkg/resource/R280330","experiment","analysis"
"http://orkg.org/orkg/resource/R280335","2010","http://orkg.org/orkg/resource/R280336","questionnaire","analysis"
"http://orkg.org/orkg/resource/R280335","2010","http://orkg.org/orkg/resource/R280336","semi-structured interview","analysis"
"http://orkg.org/orkg/resource/R280347","2010","http://orkg.org/orkg/resource/R280348","survey","analysis"
"http://orkg.org/orkg/resource/R280375","2010","http://orkg.org/orkg/resource/R280376","case study","analysis"
"http://orkg.org/orkg/resource/R280412","2010","http://orkg.org/orkg/resource/R280413","case study","analysis"
"http://orkg.org/orkg/resource/R280486","2010","http://orkg.org/orkg/resource/R280487","experiment","analysis"
"http://orkg.org/orkg/resource/R280481","2010","http://orkg.org/orkg/resource/R280482","case study","analysis"
"http://orkg.org/orkg/resource/R280498","2010","http://orkg.org/orkg/resource/R280499","experiment","analysis"
"http://orkg.org/orkg/resource/R280498","2010","http://orkg.org/orkg/resource/R280499","experiment","analysis"
"http://orkg.org/orkg/resource/R280511","2010","http://orkg.org/orkg/resource/R280512","experiment","analysis"
"http://orkg.org/orkg/resource/R280511","2010","http://orkg.org/orkg/resource/R280512","survey","analysis"
"http://orkg.org/orkg/resource/R280521","2010","http://orkg.org/orkg/resource/R280522","case study","no analysis"
"http://orkg.org/orkg/resource/R280529","2010","http://orkg.org/orkg/resource/R280530","case study","no analysis"
"http://orkg.org/orkg/resource/R280738","2009","http://orkg.org/orkg/resource/R280740","experiment","analysis"
"http://orkg.org/orkg/resource/R280747","2009","http://orkg.org/orkg/resource/R280749","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R280758","2009","http://orkg.org/orkg/resource/R280760","experiment","analysis"
"http://orkg.org/orkg/resource/R280765","2009","http://orkg.org/orkg/resource/R280767","experiment","analysis"
"http://orkg.org/orkg/resource/R280765","2009","http://orkg.org/orkg/resource/R280767","experiment","analysis"
"http://orkg.org/orkg/resource/R280793","2009","http://orkg.org/orkg/resource/R280795","case study","no analysis"
"http://orkg.org/orkg/resource/R280798","2009","http://orkg.org/orkg/resource/R280800","interview","analysis"
"http://orkg.org/orkg/resource/R280798","2009","http://orkg.org/orkg/resource/R280800","case study","analysis"
"http://orkg.org/orkg/resource/R280811","2009","http://orkg.org/orkg/resource/R280813","case study","analysis"
"http://orkg.org/orkg/resource/R280818","2009","http://orkg.org/orkg/resource/R280820","case study","analysis"
"http://orkg.org/orkg/resource/R281162","2009","http://orkg.org/orkg/resource/R281163","case study","no analysis"
"http://orkg.org/orkg/resource/R281166","2009","http://orkg.org/orkg/resource/R281167","case study","analysis"
"http://orkg.org/orkg/resource/R281172","2009","http://orkg.org/orkg/resource/R281173","field survey","analysis"
"http://orkg.org/orkg/resource/R281188","2009","http://orkg.org/orkg/resource/R281189","industrial study","analysis"
"http://orkg.org/orkg/resource/R281194","2009","http://orkg.org/orkg/resource/R281195","controlled-experiment","analysis"
"http://orkg.org/orkg/resource/R192345","2021","http://orkg.org/orkg/resource/R192347","quasi-experiment","analysis"
"http://orkg.org/orkg/resource/R192386","2021","http://orkg.org/orkg/resource/R192388","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R192398","2021","http://orkg.org/orkg/resource/R192400","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R192428","2021","http://orkg.org/orkg/resource/R192430","experiment","analysis"
"http://orkg.org/orkg/resource/R192445","2021","http://orkg.org/orkg/resource/R192447","experiment","analysis"
"http://orkg.org/orkg/resource/R193025","2021","http://orkg.org/orkg/resource/R193027","experiment","analysis"
"http://orkg.org/orkg/resource/R193035","2021","http://orkg.org/orkg/resource/R193037","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R193044","2021","http://orkg.org/orkg/resource/R193046","experiment","analysis"
"http://orkg.org/orkg/resource/R193070","2021","http://orkg.org/orkg/resource/R193072","semi-structured interview","analysis"
"http://orkg.org/orkg/resource/R193089","2021","http://orkg.org/orkg/resource/R193091","interview","analysis"
"http://orkg.org/orkg/resource/R193089","2021","http://orkg.org/orkg/resource/R193091","survey","analysis"
"http://orkg.org/orkg/resource/R193108","2021","http://orkg.org/orkg/resource/R193109","interview","analysis"
"http://orkg.org/orkg/resource/R193295","2021","http://orkg.org/orkg/resource/R193296","self-administered survey","analysis"
"http://orkg.org/orkg/resource/R193308","2021","http://orkg.org/orkg/resource/R193309","controlled-experiment","analysis"
"http://orkg.org/orkg/resource/R193308","2021","http://orkg.org/orkg/resource/R193309","controlled-experiment","analysis"
"http://orkg.org/orkg/resource/R193330","2021","http://orkg.org/orkg/resource/R193331","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R193341","2021","http://orkg.org/orkg/resource/R193342","preliminary study","analysis"
"http://orkg.org/orkg/resource/R193357","2021","http://orkg.org/orkg/resource/R193358","systematic literature review","analysis"
"http://orkg.org/orkg/resource/R193371","2020","http://orkg.org/orkg/resource/R193373","case study","analysis"
"http://orkg.org/orkg/resource/R193385","2020","http://orkg.org/orkg/resource/R193387","interview","analysis"
