"paper","year","dc_label","experiment","case_study","secondary_research","survey","action_research","interview","study"
"http://orkg.org/orkg/resource/R193929","2020","study",,,,,,,"use case"
"http://orkg.org/orkg/resource/R194345","2019","study",,,,,,,"use case"
"http://orkg.org/orkg/resource/R195669","2017","study",,,,,,,"use case"
"http://orkg.org/orkg/resource/R196014","2017","study",,,,,,,"use case"
"http://orkg.org/orkg/resource/R198795","2016","study",,,,,,,"use case"
"http://orkg.org/orkg/resource/R199162","2015","study",,,,,,,"use case"
"http://orkg.org/orkg/resource/R222366","2012","study",,,,,,,"use case"
"http://orkg.org/orkg/resource/R195218","2018","study",,,,,,,"use case"
"http://orkg.org/orkg/resource/R194054","2020","study",,,,,,,"focus group"
"http://orkg.org/orkg/resource/R197609","2017","study",,,,,,,"focus group"
"http://orkg.org/orkg/resource/R198689","2016","study",,,,,,,"focus group"
"http://orkg.org/orkg/resource/R195153","2018","study",,,,,,,"focus group"
"http://orkg.org/orkg/resource/R195153","2018","study",,,,,,,"storyboarding"
"http://orkg.org/orkg/resource/R113008","2017","study",,,,,,,"user study"
"http://orkg.org/orkg/resource/R211106","2014","study",,,,,,,"user study"
"http://orkg.org/orkg/resource/R195767","2017","study",,,,,,,"descriptive study"
"http://orkg.org/orkg/resource/R199123","2015","study",,,,,,,"workshop"
"http://orkg.org/orkg/resource/R195179","2018","study",,,,,,,"workshop"
"http://orkg.org/orkg/resource/R199158","2015","study",,,,,,,"workshop"
"http://orkg.org/orkg/resource/R211370","2014","study",,,,,,,"workshop"
"http://orkg.org/orkg/resource/R211485","2014","study",,,,,,,"workshop"
"http://orkg.org/orkg/resource/R220892","2012","study",,,,,,,"workshop"
"http://orkg.org/orkg/resource/R254521","2011","study",,,,,,,"workshop"
"http://orkg.org/orkg/resource/R279136","2010","study",,,,,,,"workshop"
"http://orkg.org/orkg/resource/R211327","2014","study",,,,,,,"industrial study"
"http://orkg.org/orkg/resource/R281188","2009","study",,,,,,,"industrial study"
"http://orkg.org/orkg/resource/R227501","2022","study",,,,,,,"validation study"
