"paper","year","contribution","dc_label","experiment","survey","interview","study","secondary_research","action_research","da_label"
"http://orkg.org/orkg/resource/R254495","2011","http://orkg.org/orkg/resource/R254497","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R254508","2011","http://orkg.org/orkg/resource/R254510","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R279116","2010","http://orkg.org/orkg/resource/R279118","structured interview",,,"structured interview",,,,
"http://orkg.org/orkg/resource/R279141","2010","http://orkg.org/orkg/resource/R279143","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R279151","2010","http://orkg.org/orkg/resource/R279153","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R280335","2010","http://orkg.org/orkg/resource/R280336","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R280798","2009","http://orkg.org/orkg/resource/R280800","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R193385","2020","http://orkg.org/orkg/resource/R193387","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R193089","2021","http://orkg.org/orkg/resource/R193091","interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R193108","2021","http://orkg.org/orkg/resource/R193109","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R194054","2020","http://orkg.org/orkg/resource/R194055","focus group",,,"focus group",,,,
"http://orkg.org/orkg/resource/R194114","2020","http://orkg.org/orkg/resource/R194115","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R193418","2020","http://orkg.org/orkg/resource/R193420","survey",,,"interview",,,,
"http://orkg.org/orkg/resource/R195153","2018","http://orkg.org/orkg/resource/R195154","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R194474","2019","http://orkg.org/orkg/resource/R194475","interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R194686","2018","http://orkg.org/orkg/resource/R194688","interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R194698","2018","http://orkg.org/orkg/resource/R194700","interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R194125","2020","http://orkg.org/orkg/resource/R194126","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R194954","2018","http://orkg.org/orkg/resource/R194956","interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R195144","2018","http://orkg.org/orkg/resource/R195145","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R195224","2018","http://orkg.org/orkg/resource/R195225","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R195519","2017","http://orkg.org/orkg/resource/R195521","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R195551","2017","http://orkg.org/orkg/resource/R195553","interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R195578","2017","http://orkg.org/orkg/resource/R195580","semi-structured interviews",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R193406","2020","http://orkg.org/orkg/resource/R193408","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R195806","2017","http://orkg.org/orkg/resource/R195807","contextual interview",,,"contextual interview",,,,
"http://orkg.org/orkg/resource/R196070","2017","http://orkg.org/orkg/resource/R196071","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R197609","2017","http://orkg.org/orkg/resource/R197610","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R197609","2017","http://orkg.org/orkg/resource/R197610","focus group",,,"focus group",,,,
"http://orkg.org/orkg/resource/R198689","2016","http://orkg.org/orkg/resource/R198691","focus group",,,"focus group",,,,
"http://orkg.org/orkg/resource/R198689","2016","http://orkg.org/orkg/resource/R198691","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R198724","2016","http://orkg.org/orkg/resource/R198726","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R198797","2016","http://orkg.org/orkg/resource/R198798","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R198856","2016","http://orkg.org/orkg/resource/R198857","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R198877","2016","http://orkg.org/orkg/resource/R198878","interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R198994","2016","http://orkg.org/orkg/resource/R198995","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R199149","2015","http://orkg.org/orkg/resource/R199151","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R199023","2015","http://orkg.org/orkg/resource/R199025","elicitation interview",,,"elicitation interview",,,,
"http://orkg.org/orkg/resource/R193070","2021","http://orkg.org/orkg/resource/R193072","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R211096","2014","http://orkg.org/orkg/resource/R211098","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R211106","2014","http://orkg.org/orkg/resource/R211108","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R211121","2014","http://orkg.org/orkg/resource/R211123","semi-structured phon interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R211121","2014","http://orkg.org/orkg/resource/R211123","semi-structured phone interview",,,"semi-strucutred phone interview",,,,
"http://orkg.org/orkg/resource/R211370","2014","http://orkg.org/orkg/resource/R211371","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R211394","2014","http://orkg.org/orkg/resource/R211395","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R211411","2014","http://orkg.org/orkg/resource/R211412","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R211485","2014","http://orkg.org/orkg/resource/R211486","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R195153","2018","http://orkg.org/orkg/resource/R195154","focus group",,,"focus group",,,,
"http://orkg.org/orkg/resource/R220390","2013","http://orkg.org/orkg/resource/R220391","interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R220643","2013","http://orkg.org/orkg/resource/R220644","interview",,,"in-depth interview",,,,
"http://orkg.org/orkg/resource/R220798","2013","http://orkg.org/orkg/resource/R220799","interview",,,"interview",,,,
"http://orkg.org/orkg/resource/R220858","2012","http://orkg.org/orkg/resource/R220860","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R227482","2022","http://orkg.org/orkg/resource/R227486","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R229340","2022","http://orkg.org/orkg/resource/R229342","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R256580","2011","http://orkg.org/orkg/resource/R256582","semi-structured interview",,,"semi-structured interview",,,,
"http://orkg.org/orkg/resource/R159690","2011","http://orkg.org/orkg/resource/R159692","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R280335","2010","http://orkg.org/orkg/resource/R280336","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R280347","2010","http://orkg.org/orkg/resource/R280348","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R280511","2010","http://orkg.org/orkg/resource/R280512","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R281172","2009","http://orkg.org/orkg/resource/R281173","field survey",,"field survey",,,,,
"http://orkg.org/orkg/resource/R193089","2021","http://orkg.org/orkg/resource/R193091","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R194139","2020","http://orkg.org/orkg/resource/R194140","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R194237","2019","http://orkg.org/orkg/resource/R194239","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R194431","2019","http://orkg.org/orkg/resource/R194432","survey",,"online questionnaire",,,,,
"http://orkg.org/orkg/resource/R194954","2018","http://orkg.org/orkg/resource/R194956","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R195153","2018","http://orkg.org/orkg/resource/R195154","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R195201","2018","http://orkg.org/orkg/resource/R195202","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R195551","2017","http://orkg.org/orkg/resource/R195553","online survey",,"online survey",,,,,
"http://orkg.org/orkg/resource/R195587","2017","http://orkg.org/orkg/resource/R195588","online survey",,"online survey",,,,,
"http://orkg.org/orkg/resource/R195728","2017","http://orkg.org/orkg/resource/R195729","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R195857","2017","http://orkg.org/orkg/resource/R195858","online quesionnaire",,"online questionnaire",,,,,
"http://orkg.org/orkg/resource/R195866","2017","http://orkg.org/orkg/resource/R195867","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R195679","2017","http://orkg.org/orkg/resource/R195680","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R196021","2017","http://orkg.org/orkg/resource/R196022","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R196046","2017","http://orkg.org/orkg/resource/R196047","survey",,"online survey",,,,,
"http://orkg.org/orkg/resource/R195124","2018","http://orkg.org/orkg/resource/R195125","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R195129","2018","http://orkg.org/orkg/resource/R195130","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R198689","2016","http://orkg.org/orkg/resource/R198691","online survey",,"online survey",,,,,
"http://orkg.org/orkg/resource/R198944","2016","http://orkg.org/orkg/resource/R198945","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R200049","2015","http://orkg.org/orkg/resource/R200050","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R200106","2015","http://orkg.org/orkg/resource/R200107","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R198681","2016","http://orkg.org/orkg/resource/R198683","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R193295","2021","http://orkg.org/orkg/resource/R193296","self-administered survey",,"self-administered survey",,,,,
"http://orkg.org/orkg/resource/R211121","2014","http://orkg.org/orkg/resource/R211123","online survey",,"online survey",,,,,
"http://orkg.org/orkg/resource/R211302","2014","http://orkg.org/orkg/resource/R211303","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R211474","2014","http://orkg.org/orkg/resource/R211475","administered online survey",,"administered online survey",,,,,
"http://orkg.org/orkg/resource/R211502","2014","http://orkg.org/orkg/resource/R211503","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R220323","2013","http://orkg.org/orkg/resource/R220334","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R220845","2012","http://orkg.org/orkg/resource/R220847","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R221801","2012","http://orkg.org/orkg/resource/R221802","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R221801","2012","http://orkg.org/orkg/resource/R221802","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R221801","2012","http://orkg.org/orkg/resource/R221802","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R227551","2022","http://orkg.org/orkg/resource/R227553","survey",,"survey",,,,,
"http://orkg.org/orkg/resource/R228189","2022","http://orkg.org/orkg/resource/R228191","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R254495","2011","http://orkg.org/orkg/resource/R254497","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R254508","2011","http://orkg.org/orkg/resource/R254510","questionnaire",,"questionnaire",,,,,
"http://orkg.org/orkg/resource/R192345","2021","http://orkg.org/orkg/resource/R192347","quasi-experiment","quasi-experiment",,,,,,
"http://orkg.org/orkg/resource/R194458","2019","http://orkg.org/orkg/resource/R194459","quasi-experiment","quasi-experiment",,,,,,
"http://orkg.org/orkg/resource/R195182","2018","http://orkg.org/orkg/resource/R195183","quasi-experiment","quasi-experiment",,,,,,
"http://orkg.org/orkg/resource/R196021","2017","http://orkg.org/orkg/resource/R196022","quasi-experiment","quasi-experiment",,,,,,
"http://orkg.org/orkg/resource/R198979","2016","http://orkg.org/orkg/resource/R198980","quasi-experiment","quasi-experiment",,,,,,
"http://orkg.org/orkg/resource/R249021","2011","http://orkg.org/orkg/resource/R249023","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R276009","2011","http://orkg.org/orkg/resource/R276010","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R276045","2011","http://orkg.org/orkg/resource/R276046","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R276051","2011","http://orkg.org/orkg/resource/R276052","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R279079","2010","http://orkg.org/orkg/resource/R279081","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R279086","2010","http://orkg.org/orkg/resource/R279088","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R279109","2010","http://orkg.org/orkg/resource/R279111","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R279116","2010","http://orkg.org/orkg/resource/R279118","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R280329","2010","http://orkg.org/orkg/resource/R280330","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R280486","2010","http://orkg.org/orkg/resource/R280487","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R280498","2010","http://orkg.org/orkg/resource/R280499","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R280498","2010","http://orkg.org/orkg/resource/R280499","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R280511","2010","http://orkg.org/orkg/resource/R280512","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R280738","2009","http://orkg.org/orkg/resource/R280740","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R280758","2009","http://orkg.org/orkg/resource/R280760","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R280765","2009","http://orkg.org/orkg/resource/R280767","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R280765","2009","http://orkg.org/orkg/resource/R280767","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R192428","2021","http://orkg.org/orkg/resource/R192430","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R192445","2021","http://orkg.org/orkg/resource/R192447","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R193025","2021","http://orkg.org/orkg/resource/R193027","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R193044","2021","http://orkg.org/orkg/resource/R193046","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R193798","2021","http://orkg.org/orkg/resource/R193799","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R193898","2020","http://orkg.org/orkg/resource/R193900","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R194317","2019","http://orkg.org/orkg/resource/R194319","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R194360","2019","http://orkg.org/orkg/resource/R194362","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R194373","2019","http://orkg.org/orkg/resource/R194375","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R194414","2019","http://orkg.org/orkg/resource/R194416","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R194445","2019","http://orkg.org/orkg/resource/R194446","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R194610","2019","http://orkg.org/orkg/resource/R194611","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R193925","2020","http://orkg.org/orkg/resource/R193926","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R194922","2018","http://orkg.org/orkg/resource/R194924","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R194932","2018","http://orkg.org/orkg/resource/R194934","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R76818","2018","http://orkg.org/orkg/resource/R195137","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R195692","2017","http://orkg.org/orkg/resource/R195693","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R195713","2017","http://orkg.org/orkg/resource/R195714","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R198673","2016","http://orkg.org/orkg/resource/R198675","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R111988","2016","http://orkg.org/orkg/resource/R198817","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R74547","2016","http://orkg.org/orkg/resource/R198908","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R198917","2016","http://orkg.org/orkg/resource/R198918","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R78432","2016","http://orkg.org/orkg/resource/R198935","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R199005","2015","http://orkg.org/orkg/resource/R199007","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R199028","2015","http://orkg.org/orkg/resource/R199030","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R199113","2015","http://orkg.org/orkg/resource/R199115","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R78392","2015","http://orkg.org/orkg/resource/R199165","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R200119","2015","http://orkg.org/orkg/resource/R200120","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R113204","2018","http://orkg.org/orkg/resource/R195127","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R198808","2016","http://orkg.org/orkg/resource/R198809","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R199158","2015","http://orkg.org/orkg/resource/R199159","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R211294","2014","http://orkg.org/orkg/resource/R211295","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R211302","2014","http://orkg.org/orkg/resource/R211303","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R211336","2014","http://orkg.org/orkg/resource/R211337","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R211361","2014","http://orkg.org/orkg/resource/R211362","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R211438","2014","http://orkg.org/orkg/resource/R211439","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R211438","2014","http://orkg.org/orkg/resource/R211439","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R211438","2014","http://orkg.org/orkg/resource/R211439","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R211459","2014","http://orkg.org/orkg/resource/R211460","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R211467","2014","http://orkg.org/orkg/resource/R211468","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220343","2013","http://orkg.org/orkg/resource/R220345","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220354","2013","http://orkg.org/orkg/resource/R220356","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220364","2013","http://orkg.org/orkg/resource/R220366","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220538","2013","http://orkg.org/orkg/resource/R220539","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220538","2013","http://orkg.org/orkg/resource/R220539","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220538","2013","http://orkg.org/orkg/resource/R220539","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220538","2013","http://orkg.org/orkg/resource/R220539","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220618","2013","http://orkg.org/orkg/resource/R220619","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220633","2013","http://orkg.org/orkg/resource/R220634","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220831","2012","http://orkg.org/orkg/resource/R220833","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220845","2012","http://orkg.org/orkg/resource/R220847","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220881","2012","http://orkg.org/orkg/resource/R220883","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R220898","2012","http://orkg.org/orkg/resource/R220900","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R221156","2012","http://orkg.org/orkg/resource/R221157","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R221163","2012","http://orkg.org/orkg/resource/R221164","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R221176","2012","http://orkg.org/orkg/resource/R221177","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R221838","2012","http://orkg.org/orkg/resource/R221839","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R222375","2012","http://orkg.org/orkg/resource/R222376","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R227465","2022","http://orkg.org/orkg/resource/R227467","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R227514","2022","http://orkg.org/orkg/resource/R227516","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R227533","2022","http://orkg.org/orkg/resource/R227535","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R227551","2022","http://orkg.org/orkg/resource/R227553","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R228211","2022","http://orkg.org/orkg/resource/R228213","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R229273","2022","http://orkg.org/orkg/resource/R229276","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R229316","2022","http://orkg.org/orkg/resource/R229318","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R263000","2011","http://orkg.org/orkg/resource/R264008","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R265006","2011","http://orkg.org/orkg/resource/R265008","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R265019","2011","http://orkg.org/orkg/resource/R265021","experiment","experiment",,,,,,
"http://orkg.org/orkg/resource/R193308","2021","http://orkg.org/orkg/resource/R193309","controlled-experiment","controlled-experiment",,,,,,
"http://orkg.org/orkg/resource/R281194","2009","http://orkg.org/orkg/resource/R281195","controlled-experiment","controlled-experiment",,,,,,
"http://orkg.org/orkg/resource/R193308","2021","http://orkg.org/orkg/resource/R193309","controlled-experiment","controlled-experiment",,,,,,
"http://orkg.org/orkg/resource/R194401","2019","http://orkg.org/orkg/resource/R194403","controlled experiment","controlled-experiment",,,,,,
"http://orkg.org/orkg/resource/R195789","2017","http://orkg.org/orkg/resource/R195790","controlled experiment","controlled-experiment",,,,,,
"http://orkg.org/orkg/resource/R195986","2017","http://orkg.org/orkg/resource/R195987","controlled experiment","controlled-experiment",,,,,,
"http://orkg.org/orkg/resource/R194954","2018","http://orkg.org/orkg/resource/R194956","controlled-experiment","controlled-experiment",,,,,,
"http://orkg.org/orkg/resource/R221821","2012","http://orkg.org/orkg/resource/R221822","controlled-experiment","controlled-experiment",,,,,,
"http://orkg.org/orkg/resource/R194281","2019","http://orkg.org/orkg/resource/R194283","controlled quasi-experiment","controlled quasi-experiment",,,,,,
"http://orkg.org/orkg/resource/R196033","2017","http://orkg.org/orkg/resource/R196034","field experiment","field experiment",,,,,,
"http://orkg.org/orkg/resource/R220629","2013","http://orkg.org/orkg/resource/R220630","field experiment","field experiment",,,,,,
"http://orkg.org/orkg/resource/R249016","2011","http://orkg.org/orkg/resource/R249018","case study",,,,,,,
"http://orkg.org/orkg/resource/R249030","2011","http://orkg.org/orkg/resource/R249033","case study",,,,,,,
"http://orkg.org/orkg/resource/R265028","2011","http://orkg.org/orkg/resource/R265029","observation",,,,,,,
"http://orkg.org/orkg/resource/R276000","2011","http://orkg.org/orkg/resource/R276002","systematic literature review",,,,,,,
"http://orkg.org/orkg/resource/R276015","2011","http://orkg.org/orkg/resource/R276016","observation",,,,,,,
"http://orkg.org/orkg/resource/R276020","2011","http://orkg.org/orkg/resource/R276021","systematic literature review",,,,,,,
"http://orkg.org/orkg/resource/R276024","2011","http://orkg.org/orkg/resource/R276025","case study",,,,,,,
"http://orkg.org/orkg/resource/R276031","2011","http://orkg.org/orkg/resource/R276032","case study",,,,,,,
